idacirscore_y,w2sexyp,w4ghq12scr,w2ethnicyp,w2fat5yp,bullied,truant,w2hiqualgmp,w3outschbyp,w7heflag,w9danvqh,w9dvnvqh,w9drussell,imdrscore_y,gor_x,marital_status_MP,w4lnpar,w3parqualmp,w4readsyp,w4concenyp,w4noconfyp,drugs,job_attd,w6univyp,w9_income_above_median
0.26,1.0,5.0,1.0,1.0,0.05263,0,3.0,2.0,2,4.0,3.0,3.0,26,3,2.0,2.0,4.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0
0.38,1.0,0.0,1.0,2.0,0.05263,0,1.0,1.0,1,4.0,4.0,3.0,52,9,2.0,2.0,4.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0
0.09,1.0,1.0,1.0,3.0,0.05263,1,3.0,2.0,2,5.0,2.0,3.0,10,6,3.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0
0.28,1.0,1.0,3.0,1.0,0.05263,0,1.0,2.0,1,4.0,6.0,2.0,34,7,3.0,1.0,4.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0
0.03,1.0,0.0,1.0,3.0,0.05263,0,1.0,1.0,1,4.0,6.0,1.0,4,8,2.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0,1.0,1.0
0.4,0.0,0.0,1.0,,0.05263,0,5.0,2.0,2,6.0,2.0,3.0,37,4,3.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0
0.01,0.0,1.0,1.0,2.0,0.05263,0,2.0,2.0,1,5.0,6.0,2.0,3,3,2.0,2.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0
0.2,0.0,2.0,1.0,2.0,0.05263,0,2.0,2.0,1,5.0,1.0,2.0,20,4,2.0,2.0,,1.0,2.0,1.0,1.0,3.0,1.0,1.0
0.07,0.0,,1.0,2.0,0.05263,1,2.0,2.0,2,2.0,3.0,3.0,14,3,2.0,2.0,2.0,2.0,,,0.0,3.0,0.0,0.0
0.05,0.0,10.0,1.0,2.0,0.10526,0,2.0,2.0,1,5.0,6.0,2.0,5,4,2.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0
0.02,0.0,4.0,1.0,3.0,0.05263,0,3.0,2.0,1,5.0,5.0,3.0,3,6,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
0.75,1.0,0.0,3.0,3.0,0.0,1,3.0,2.0,2,1.0,6.0,3.0,69,5,2.0,2.0,,1.0,2.0,2.0,1.0,3.0,0.0,0.0
0.58,0.0,7.0,3.0,1.0,0.0,0,5.0,1.0,1,4.0,5.0,2.0,42,7,3.0,1.0,,2.0,3.0,3.0,0.0,2.0,1.0,1.0
0.37,0.0,1.0,1.0,2.0,0.15789,1,5.0,1.0,2,3.0,6.0,3.0,39,1,1.0,2.0,4.0,5.0,2.0,3.0,0.0,3.0,0.0,1.0
0.02,1.0,1.0,1.0,2.0,0.10526,0,1.0,2.0,1,5.0,5.0,1.0,2,8,2.0,2.0,5.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0
0.06,0.0,2.0,1.0,2.0,0.05263,1,2.0,2.0,2,4.0,3.0,3.0,14,2,2.0,2.0,4.0,5.0,3.0,1.0,1.0,3.0,0.0,0.0
0.51,1.0,2.0,1.0,3.0,0.05263,0,4.0,1.0,2,1.0,6.0,3.0,42,4,2.0,2.0,5.0,5.0,2.0,1.0,1.0,2.0,0.0,1.0
0.22,1.0,0.0,1.0,1.0,0.05263,0,5.0,2.0,2,2.0,3.0,3.0,24,8,3.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0
0.14,1.0,0.0,1.0,3.0,0.05263,1,4.0,2.0,2,2.0,6.0,3.0,18,6,2.0,2.0,3.0,5.0,2.0,1.0,1.0,3.0,0.0,1.0
0.43,0.0,0.0,1.0,2.0,0.05263,0,3.0,2.0,1,4.0,5.0,2.0,50,5,3.0,1.0,3.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0
0.15,0.0,0.0,1.0,2.0,0.15789,1,3.0,2.0,2,4.0,3.0,3.0,17,8,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0
0.33,1.0,3.0,3.0,1.0,0.05263,0,5.0,1.0,1,5.0,5.0,1.0,26,6,2.0,2.0,4.0,5.0,2.0,3.0,0.0,3.0,1.0,1.0
0.59,0.0,10.0,3.0,3.0,0.05263,0,5.0,1.0,1,5.0,5.0,2.0,61,7,2.0,2.0,3.0,4.0,4.0,3.0,0.0,4.0,1.0,1.0
0.22,0.0,6.0,1.0,2.0,0.21053,0,4.0,2.0,2,3.0,2.0,3.0,34,3,2.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0
0.14,1.0,5.0,1.0,1.0,0.05263,0,4.0,1.0,2,6.0,6.0,3.0,17,2,2.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0
0.07,1.0,4.0,1.0,3.0,0.05263,0,1.0,2.0,1,4.0,6.0,2.0,13,9,2.0,2.0,4.0,1.0,2.0,3.0,0.0,3.0,0.0,1.0
0.3,1.0,2.0,1.0,2.0,0.05263,0,3.0,2.0,1,4.0,6.0,2.0,45,2,2.0,2.0,4.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0
0.25,1.0,,1.0,2.0,0.05263,1,4.0,1.0,1,4.0,6.0,2.0,19,8,2.0,2.0,3.0,4.0,,,0.0,2.0,1.0,1.0
0.6,0.0,,3.0,2.0,0.0,0,5.0,2.0,2,,,3.0,59,3,2.0,2.0,,6.0,2.0,2.0,0.0,2.0,0.0,0.0
0.04,1.0,0.0,1.0,2.0,0.05263,0,3.0,2.0,2,1.0,2.0,3.0,10,4,2.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0
0.18,1.0,1.0,2.0,1.0,0.05263,0,2.0,1.0,1,4.0,6.0,2.0,22,9,1.0,1.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0
0.47,0.0,7.0,3.0,2.0,0.0,0,5.0,1.0,1,4.0,6.0,2.0,60,3,2.0,2.0,,2.0,2.0,3.0,0.0,3.0,0.0,1.0
