NSID	W8HISTID	W8HIST	W8WORKHRSP	W8STUDYHRSP	W8USUALP	W8SICKHRSP	W8HISTSTPM	W8HISTSTPY	W8DACTIVITYP
NS10001S	1	1	1	-1	-1	-1	5	2007	1
NS10004W	1	1	1	-1	-1	-1	7	2011	1
NS10004W	2	5	-1	1	3	-1	9	2008	6
NS10011M	1	4	-1	-1	-1	-1	2	2012	5
NS10011M	2	1	1	-1	-1	-1	5	2009	1
NS10020F	1	4	-1	-1	-1	-1	1	2011	5
NS10020F	2	5	-1	1	3	-1	9	2009	6
NS10021G	1	6	1	-1	-1	-1	9	2014	12
NS10021G	2	1	1	-1	-1	-1	3	2011	1
NS10021G	3	4	-1	-1	-1	-1	9	2010	5
NS10021G	4	1	1	-1	-1	-1	5	2010	1
NS10026M	1	1	1	-1	-1	-1	5	2006	1
NS10027N	1	5	-1	1	3	-1	9	2008	6
NS10029Q	1	1	1	-1	-1	-1	-8	-8	1
NS10030A	1	1	1	-1	-1	-1	9	2006	1
NS10031B	1	1	1	-1	-1	-1	11	2009	1
NS10033D	1	1	1	-1	-1	-1	9	2011	1
NS10033D	2	5	-1	1	3	-1	9	2009	6
NS10036G	1	4	-1	-1	-1	-1	4	2009	5
NS10038J	1	1	1	-1	-1	-1	6	2010	1
NS10039K	1	1	1	-1	-1	-1	1	2015	1
NS10039K	2	1	1	-1	-1	-1	7	2012	1
NS10039K	3	1	1	-1	-1	-1	9	2010	1
NS10039K	4	5	-1	1	2	-1	9	2008	6
NS10040V	1	1	1	-1	-1	-1	7	1997	1
NS10041W	1	1	2	-1	-1	-1	9	2012	2
NS10041W	2	1	2	-1	-1	-1	6	2010	2
NS10042X	1	4	-1	-1	-1	-1	8	2010	5
NS10044Z	1	1	1	-1	-1	-1	1	2013	1
NS10044Z	2	5	-1	1	3	-1	10	2011	6
NS10044Z	3	5	-1	1	3	-1	9	2008	6
NS10045A	1	6	2	-1	-1	-1	9	2009	12
NS10047C	1	1	1	-1	-1	-1	9	2011	1
NS10047C	2	5	-1	1	3	-1	9	2008	6
NS10052R	1	5	-1	1	3	-1	9	2008	6
NS10053S	1	4	-1	-1	-1	-1	2	2013	5
NS10053S	2	3	1	-1	-1	-1	11	2011	11
NS10053S	3	9	-1	-1	-1	-1	7	2008	13
NS10055V	1	1	2	-1	-1	-1	3	2013	2
