NSID	W9ACTID	W9DACTIVITY4	W9CLJYEND	W9CLENDMO	W9CLENDYR	W9CLSEMPCHK	W9CLACTIVITY2	W9CLPAIDWK	W9STUDYHRS	W9USUAL	W9CLSICKDIS	W9CLOTHACT10A	W9CLOTHACT10B	W9CLOTHACT10C	W9CLOTHACT10D	W9CLOTHACT10E	W9CLOTHACT10F	W9CLOTHACT10G	W9CLOTHACT10H	W9CLOTHACT10I	W9CLOTHACT10J	W9CLOTHACT10K	W9CLOTHACT10L	W9CLOTHACT10M	W9CLOTHACT10N	W9CLOTHACT10O	W9CLOTHACT10P	W9DACTIVITY3	W9CJWRKHRS	W9CHANHRS0A	W9CHANHRS0B	W9CHANHRS0C	W9CHANHRS0D	W9CHANHRS0E	W9CHANHRS0F	W9CHANHRS0G	W9CHANHRS0H	W9CHANHRS0I	W9CHANHRS0J	W9CHANHRS0K	W9CHANHRS0L	W9CHANHRS0M	W9CHANHRS0N	W9CHANHRS0O	W9CHANHRS0P	W9CHANHRS0Q	W9CHANHRS0R	W9CHANHRS0S	W9CHANHRS0T	W9CHANHRS0U	W9CHANHRS0V	W9CHANHRS0W	W9CLCURACT	W9CLCURACTST	W9LASTLOOP
NS10019W	1	1	9	1	2011	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS10399J	3	1	9	3	2009	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	10
NS10399J	8	1	9	6	2014	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	10
NS10427X	5	1	1	2	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	7
NS10578Y	2	1	27	1	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	6
NS10578Y	4	1	18	2	2020	-1	10	-1	-1	-1	-1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	6
NS10580J	2	1	6	1	2013	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	8
NS10614D	1	1	9	10	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS10614D	4	1	15	10	2021	-1	10	1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	5
NS10640H	3	1	9	3	2020	-1	10	-1	-1	-1	-1	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
