NSID	W4JHAct	W4ActivityIteration	W4JHStY	W4JHStM	W4JHStMDK
NS10001S	5	1	2006	5	-91
NS10008A	5	1	2006	6	-91
NS10011M	1	1	2006	9	-91
NS10024K	4	1	2006	9	-91
NS10032C	1	1	2007	3	-91
NS10032C	5	2	2006	12	-91
NS10032C	4	3	2006	8	-91
NS10039K	1	1	2006	9	-91
NS10040V	8	1	2006	6	-91
NS10043Y	7	1	2007	6	-91
NS10043Y	5	2	2007	1	-91
NS10043Y	1	3	2006	9	-91
NS10063M	1	1	2006	9	-91
NS10085D	10	1	2007	2	-91
NS10085D	8	2	2006	7	-91
NS10090S	1	1	2006	9	-91
NS10108C	1	1	2006	9	-91
NS10110N	10	1	2006	7	-91
NS10128R	7	1	2006	9	-91
NS10147E	5	1	2006	6	-91
NS10151S	8	1	2006	6	-91
NS10161M	4	1	2006	3	-91
NS10166S	9	1	2006	7	-91
NS10168V	1	1	2006	9	-91
NS10179Q	3	1	2007	1	-91
NS10179Q	1	2	2006	9	-91
NS10192X	1	1	2006	9	-91
NS10194Z	4	1	2006	6	-91
NS10201X	5	1	2006	6	-91
NS10207D	1	1	2006	9	-91
NS10214V	1	1	2006	3	-91
NS10222M	1	1	2006	9	-91
NS10224P	1	1	2006	9	-91
NS10226R	2	1	2007	1	-91
NS10226R	1	2	2006	9	-91
NS10229V	1	1	-1	-91	1
NS10238N	4	1	2006	9	-91
NS10249J	1	1	2006	12	-91
NS10249J	5	2	2006	7	-91
NS10251V	5	1	2006	7	-91
NS10260N	1	1	2006	9	-91
NS10264S	1	1	2006	9	-91
NS10284G	1	1	2006	9	-91
NS10291Y	1	1	2006	9	-91
NS10306E	4	1	2006	10	-91
NS10306E	1	2	-1	-91	1
NS10327V	5	1	2006	5	-91
NS10333K	5	1	2006	1	-91
NS10347J	10	1	2006	9	-91
NS10358E	5	1	2007	4	-91
NS10358E	7	2	2006	10	-91
NS10358E	9	3	2006	7	-91
NS10383H	8	1	2007	2	-91
NS10383H	1	2	2006	9	-91
NS10384J	1	1	2007	1	-91
NS10384J	1	2	2006	9	-91
NS10421Q	5	1	2007	2	-91
NS10421Q	1	2	2006	9	-91
NS10422R	7	1	2006	11	-91
NS10422R	9	2	2006	6	-91
NS10425V	1	1	2006	6	-91
NS10439T	2	1	2006	10	-91
NS10439T	1	2	-1	-91	1
NS10450Y	1	1	2006	9	-91
NS10491C	2	1	2007	2	-91
NS10491C	5	2	2006	11	-91
NS10491C	1	3	2006	9	-91
