NSID	W7JHAct	W7ActivityPeriod	W7JHWrk	W7JHEdu1	W7JHEdu2	W7JHTrain	W7JHOth1	W7JHOth2	W7JHOth3	W7JHOth4	W7TIterationActivity	W7JHStill	W7OnJobTP	W7OffJobTP_1	W7OffJobTP_2	W7OffJobTP_3	W7OffJobTP_4	W7ActStpY	W7ActStpM	W7FinCour	W7DisNotEd	W7DisOthEdu	W7IfNotEd_1	W7IfNotEd_2	W7IfNotEd_3	W7IfNotEd_4	W7IfNotEd_5	W7IfNotEd_6	W7IfNotEd_7	W7IfNotEd_8	W7IfNotEd_9	W7IfNotEd_10	W7IfNotEd_11	W7IfNotEd_12	W7IfNotEd_13	W7IfNotEd_14	W7IfNotEd_15	W7IfNotEd_16	W7IfNotEd_17	W7IfNotEd_18	W7IfNotEd_19	W7FinHE	W7DisFinHE	W7DisothHE	W7IfNotHE_1	W7IfNotHE_2	W7IfNotHE_3	W7IfNotHE_4	W7IfNotHE_5	W7IfNotHE_6	W7IfNotHE_7	W7IfNotHE_8	W7IfNotHE_9	W7IfNotHE_10	W7IfNotHE_11	W7IfNotHE_12	W7IfNotHE_13	W7IfNotHE_14	W7IfNotHE_15	W7JHStop	W7DisJhStop	W7Disothstop	W7JHLeav_1	W7JHLeav_2	W7JHLeav_3	W7JHLeav_4	W7JHChoose_1	W7JHChoose_2	W7JHChoose_3	W7JHChoose_4	W7JHChoose_5	W7FinApp	W7DisFinApp	W7DisOthApp
NS10019W	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	3	-91	-91	-91	-91	-91	-91	1	4	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	1	2	2	2	1	-91	-91	-91
NS10019W	5	2	-91	-91	-91	-91	2	1	-91	-91	8	2	-91	-91	-91	-91	-91	2	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10019W	5	3	-91	-91	-91	-91	2	1	-91	-91	8	2	-91	-91	-91	-91	-91	2	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10019W	5	4	-91	-91	-91	-91	-92	1	-91	-91	8	2	-91	-91	-91	-91	-91	2	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10019W	-92	5	-91	-91	-91	-91	2	1	-91	-91	8	2	-91	-91	-91	-91	-91	2	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10019W	1	6	5	-91	-91	-91	-91	-91	-91	-91	10	2	2	2	2	2	2	2	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10019W	1	7	1	-91	-91	-91	-91	-91	-91	-91	3	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10021G	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	1	6	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10021G	4	2	-91	-91	-91	-91	-91	-91	-91	-91	11	2	-91	-91	-91	-91	-91	2	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10021G	1	3	1	-91	-91	-91	-91	-91	-91	-91	3	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10028P	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	1	6	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10028P	5	2	-91	-91	-91	-91	2	1	-91	-91	8	2	-91	-91	-91	-91	-91	2	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10028P	2	3	-91	1	-91	-91	-91	-91	-91	-91	1	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10031B	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	1	7	2	-91	-91	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10031B	1	2	4	-91	-91	-91	-91	-91	-91	-91	5	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10032C	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	1	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10032C	1	2	2	-91	-91	-91	-91	-91	-91	-91	3	2	1	2	2	2	2	2	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	1	1	2	2	2	-91	-91	-91
