NSID	W8HHMID	W8DCHSEX	W8HHMDOBM	W8HHMDOBY	W8DHHMAGE	W8RAGE	W8RELTOKEY
NS10020F	1	1	-9	-9	-1	-8	1
NS10020F	2	2	-9	-9	-1	60	1
NS10027N	1	2	5	1956	59	-1	1
NS10027N	2	1	12	1979	36	-1	8
NS10031B	1	1	5	1962	53	-1	1
NS10031B	2	2	5	1961	54	-1	1
NS10031B	3	1	4	1992	23	-1	8
NS10036G	1	1	7	1960	55	-1	1
NS10036G	2	2	7	1981	34	-1	4
NS10041W	1	1	7	1954	61	-1	1
NS10041W	2	2	3	1959	57	-1	1
NS10042X	1	2	6	1960	55	-1	1
NS10042X	2	1	10	1957	58	-1	1
NS10042X	3	2	8	1995	20	-1	8
NS10042X	4	1	6	1993	22	-1	23
NS10042X	5	1	12	2012	3	-1	15
NS10045A	1	1	-9	-9	-1	-8	1
NS10045A	2	2	-9	-9	-1	23	8
NS10045A	3	1	8	1994	21	-1	8
NS10052R	1	1	9	1988	27	-1	8
NS10052R	2	1	10	1960	55	-1	1
NS10052R	3	2	8	1955	60	-1	1
NS10053S	1	2	10	1964	51	-1	1
NS10059Z	1	1	1	1961	55	-1	1
NS10059Z	2	2	9	1958	57	-1	1
NS10059Z	3	1	1	1992	24	-1	8
NS10059Z	4	1	9	2000	15	-1	8
NS10059Z	5	2	1	1991	25	-1	15
NS10067R	1	2	11	1967	48	-1	1
NS10067R	2	1	4	1967	48	-1	4
NS10067R	3	2	5	1995	20	-1	9
NS10067R	4	2	11	1996	19	-1	9
NS10072F	1	1	1	1959	57	-1	1
NS10072F	2	2	4	1964	51	-1	1
NS10072F	3	2	12	1985	30	-1	8
NS10072F	4	1	2	1993	23	-1	8
NS10072F	5	2	12	1995	20	-1	8
NS10072F	6	2	7	2006	9	-1	8
NS10076K	1	2	4	1990	25	-1	17
NS10076K	2	2	6	1993	22	-1	17
NS10086E	1	1	10	1969	46	-1	1
NS10086E	2	2	1	1969	46	-1	1
NS10086E	3	2	9	1988	27	-1	8
NS10086E	4	2	10	1991	24	-1	8
NS10086E	5	2	3	1994	21	-1	8
NS10086E	6	2	8	1999	16	-1	8
NS10086E	7	2	3	2001	14	-1	8
NS10086E	8	1	2	2004	11	-1	8
NS10090S	1	2	-9	-9	-1	-9	1
NS10090S	2	1	-9	-9	-1	-9	4
NS10093W	1	2	1	1966	50	-1	1
NS10093W	2	1	4	1964	51	-1	1
NS10093W	3	1	5	1996	19	-1	8
NS10093W	4	1	12	1998	17	-1	8
NS10095Y	1	2	6	1961	54	-1	1
NS10095Y	2	2	4	1992	23	-1	8
NS10095Y	3	1	11	1955	60	-1	4
NS10096Z	1	1	4	1966	49	-1	1
NS10096Z	2	2	1	1969	46	-1	1
NS10096Z	3	1	10	1988	27	-1	8
NS10096Z	4	2	-9	-9	-1	-8	13
NS10096Z	5	1	2	1992	23	-1	13
NS10096Z	6	2	2	1997	18	-1	8
NS10096Z	7	2	4	2013	2	-1	15
NS10126P	1	2	9	1968	47	-1	1
NS10126P	2	1	3	1968	47	-1	1
NS10126P	3	2	5	1999	16	-1	8
NS10128R	1	2	-9	-9	-1	-9	1
NS10128R	2	1	-9	-9	-1	-9	1
NS10128R	3	1	-9	-9	-1	-9	8
NS10131D	1	2	12	1958	56	-1	3
NS10131D	2	1	5	1958	57	-1	1
NS10134G	1	2	7	1954	61	-1	1
NS10138L	1	1	2	1936	79	-1	1
NS10138L	2	2	4	1952	63	-1	1
NS10138L	3	1	11	1986	29	-1	8
NS10138L	4	2	7	1989	26	-1	13
NS10138L	5	2	-9	-9	-1	29	13
NS10138L	6	1	8	1982	33	-1	8
NS10138L	7	2	11	2010	5	-1	15
NS10138L	8	2	2	2015	0	-1	15
NS10139M	1	1	12	1968	46	-1	1
NS10139M	2	2	5	1971	44	-1	1
NS10139M	3	2	7	1997	18	-1	8
NS10155X	1	2	-9	-9	-1	-9	1
NS10155X	2	1	-9	-9	-1	-9	8
NS10155X	3	2	-9	-9	-1	-9	8
NS10170F	1	2	9	1926	89	-1	14
NS10170F	2	1	5	1957	58	-1	1
NS10170F	3	2	4	1956	59	-1	1
NS10170F	4	1	9	1981	34	-1	8
NS10170F	5	2	12	1988	27	-1	13
NS10171G	1	2	-9	-9	-1	50	1
NS10171G	2	2	-9	-9	-1	34	13
NS10171G	3	1	-9	-9	-1	34	8
NS10171G	4	2	-9	-9	-1	21	8
NS10175L	1	2	-9	-9	-1	49	1
NS10176M	1	2	1	1989	27	-1	17
NS10189K	1	2	11	1966	49	-1	1
NS10189K	2	2	3	1935	81	-1	14
NS10190V	1	1	-9	-9	-1	-9	1
NS10190V	2	2	-9	-9	-1	-9	1
NS10190V	3	2	-9	-9	-1	29	8
NS10190V	4	2	-9	-9	-1	-8	8
NS10194Z	1	2	-9	-9	-1	-8	5
NS10201X	1	1	-9	-9	-1	76	14
NS10201X	2	1	-9	-9	-1	76	14
NS10205B	1	1	-9	-9	-1	-9	5
NS10205B	2	2	-9	-9	-1	-9	5
NS10205B	3	1	-9	-9	-1	-9	13
NS10213T	1	1	-9	-9	-1	51	1
NS10213T	2	2	-9	-9	-1	50	1
NS10213T	3	2	-9	-9	-1	20	8
NS10216X	1	2	1	1992	23	-1	23
NS10216X	2	1	3	1960	55	-1	1
NS10216X	3	2	11	1959	56	-1	1
NS10218Z	1	1	-9	-9	-1	52	1
NS10218Z	2	2	-9	-9	-1	50	1
NS10218Z	3	2	9	1992	23	-1	8
NS10218Z	4	2	12	1994	21	-1	8
NS10251V	1	1	11	1966	49	-1	2
NS10251V	2	2	10	1969	46	-1	1
NS10251V	3	2	11	1994	21	-1	8
NS10251V	4	2	8	2001	14	-1	8
NS10251V	5	1	-9	-9	-1	-8	23
NS10252W	1	1	-9	-9	-1	27	17
NS10252W	2	1	-9	-9	-1	28	17
NS10253X	1	2	1	1962	54	-1	23
NS10253X	2	1	8	1959	57	-1	23
NS10253X	3	2	1	1985	31	-1	23
NS10253X	4	2	2	2009	7	-1	23
NS10260N	1	2	7	1966	49	-1	1
NS10260N	2	1	3	1960	55	-1	4
NS10262Q	1	1	12	1955	60	-1	4
NS10262Q	2	2	12	1959	56	-1	1
NS10262Q	3	1	7	1988	27	-1	11
NS10266V	1	1	3	1965	51	-1	1
NS10266V	2	2	5	1970	45	-1	1
NS10266V	3	2	12	1996	19	-1	8
NS10266V	4	2	9	2007	8	-1	8
NS10270H	1	2	12	1963	52	-1	1
NS10273L	1	1	10	1956	59	-1	1
NS10273L	2	2	3	1955	60	-1	1
NS10273L	3	1	2	1982	33	-1	8
NS10273L	4	2	12	1986	29	-1	8
NS10281D	1	2	-9	-9	-1	56	1
NS10281D	2	2	-9	-9	-1	26	8
NS10281D	3	1	-9	-9	-1	20	8
NS10281D	4	1	-9	-9	-1	-9	15
NS10291Y	1	1	-9	-9	-1	28	8
NS10291Y	2	2	-9	-9	-1	31	8
NS10291Y	3	2	-9	-9	-1	8	23
NS10291Y	4	2	-9	-9	-1	19	8
NS10291Y	5	2	-9	-9	-1	50	1
NS10291Y	6	1	-9	-9	-1	59	1
NS10298F	1	2	-9	-9	-1	-8	18
NS10298F	2	1	-9	-9	-1	-8	17
NS10299G	1	1	-9	-9	-1	30	17
NS10301Z	1	1	8	1957	58	-1	1
NS10301Z	2	2	3	1959	57	-1	1
NS10307F	1	1	6	1953	62	-1	1
NS10307F	2	2	7	1957	58	-1	1
NS10312V	1	1	-9	-9	-1	-8	17
NS10314X	1	1	12	1963	52	-1	1
NS10314X	2	1	10	2001	14	-1	8
NS10315Y	1	2	7	1985	30	-1	8
NS10317A	1	1	1	1988	28	-1	8
NS10317A	2	2	-9	-9	-1	55	1
NS10317A	3	1	-9	-9	-1	58	1
NS10322P	1	2	-9	-9	-1	-9	1
NS10322P	2	1	-9	-9	-1	-9	1
NS10322P	3	1	-9	-9	-1	-9	8
NS10336N	1	1	9	1957	58	-1	23
NS10336N	2	2	6	1960	55	-1	23
NS10336N	3	2	4	1987	28	-1	23
NS10346H	1	2	10	1972	42	-1	1
NS10346H	2	1	3	1995	20	-1	8
NS10352Y	1	2	6	1990	25	-1	17
NS10352Y	2	1	-9	-9	-1	25	17
NS10354A	1	2	2	1957	59	-1	1
NS10354A	2	1	3	1957	59	-1	1
NS10357D	1	2	7	1967	48	-1	1
NS10357D	2	1	1	1963	52	-1	1
NS10362S	1	2	4	1969	47	-1	1
NS10362S	2	1	5	1965	51	-1	1
NS10362S	3	2	2	1995	21	-1	8
NS10362S	4	1	4	1998	18	-1	8
NS10362S	5	1	6	2000	16	-1	8
NS10364V	1	1	4	1992	24	-1	17
NS10365W	1	2	-9	-9	-1	25	17
NS10365W	2	2	-9	-9	-1	24	17
NS10365W	3	1	-9	-9	-1	26	17
NS10375Q	1	2	10	1993	22	-1	8
NS10375Q	2	1	7	1962	53	-1	1
NS10375Q	3	2	2	1958	58	-1	1
NS10388N	1	2	5	1964	51	-1	1
NS10388N	2	1	6	1963	52	-1	1
NS10388N	3	1	5	1991	24	-1	8
NS10388N	4	1	12	1998	16	-1	8
NS10388N	5	2	12	1998	16	-1	8
NS10393C	1	2	-9	-9	-1	34	17
NS10393C	2	2	-9	-9	-1	27	17
NS10396F	1	2	9	1989	26	-1	17
NS10396F	2	2	7	1991	24	-1	17
NS10397G	1	1	1	1962	53	-1	1
NS10397G	2	2	11	1959	55	-1	1
NS10397G	3	1	6	1993	22	-1	8
NS10401B	1	1	4	1946	70	-1	1
NS10407H	1	1	11	1974	41	-1	1
NS10407H	2	2	4	1980	35	-1	4
NS10407H	3	2	8	2011	4	-1	9
NS10411W	1	1	-9	-9	-1	-9	1
NS10411W	2	2	-9	-9	-1	-9	1
NS10411W	3	2	-9	-9	-1	-9	8
NS10411W	4	2	-9	-9	-1	-9	8
NS10411W	5	2	-9	-9	-1	-9	8
NS10413Y	1	2	-9	-9	-1	55	1
NS10413Y	2	1	-9	-9	-1	57	1
NS10413Y	3	2	-9	-9	-1	11	8
NS10413Y	4	1	-9	-9	-1	30	8
NS10415A	1	2	6	1950	65	-1	16
NS10416B	1	1	8	1960	55	-1	1
NS10416B	2	2	4	1965	50	-1	1
NS10416B	3	2	12	1997	18	-1	8
NS10417C	1	2	3	1959	56	-1	1
NS10417C	2	1	7	1953	62	-1	1
NS10421Q	1	2	11	1960	55	-1	1
NS10421Q	2	1	7	1960	55	-1	1
NS10426W	1	2	3	1963	52	-1	1
NS10426W	2	1	3	1959	56	-1	1
NS10431K	1	1	4	1966	49	-1	1
NS10431K	2	2	5	1969	46	-1	1
NS10431K	3	1	8	1988	27	-1	13
NS10431K	4	1	4	1990	25	-1	13
NS10434N	1	1	2	1960	55	-1	1
NS10434N	2	2	3	1954	61	-1	1
NS10434N	3	1	5	1998	17	-1	15
NS10436Q	1	1	-9	-9	-1	25	17
NS10440D	1	2	1	1957	59	-1	1
NS10444H	1	2	5	1964	51	-1	1
NS10444H	2	1	-9	-9	-1	16	8
NS10444H	3	1	-9	-9	-1	14	8
NS10447L	1	2	7	1991	24	-1	17
NS10447L	2	2	-9	-9	-1	40	17
NS10462V	1	2	6	1954	61	-1	1
NS10462V	2	1	9	1944	71	-1	1
NS10471N	1	1	-9	-9	-1	26	8
NS10471N	2	2	-9	-9	-1	60	1
NS10471N	3	1	-9	-9	-1	31	8
NS10472P	1	2	6	1987	28	-1	8
NS10472P	2	1	8	1993	22	-1	8
NS10472P	3	2	1	1962	54	-1	1
NS10474R	1	1	-9	-9	-1	60	1
NS10474R	2	2	-9	-9	-1	59	1
NS10474R	3	1	-9	-9	-1	30	8
NS10474R	4	2	-9	-9	-1	29	13
NS10474R	5	1	-9	-9	-1	29	8
NS10474R	6	2	-9	-9	-1	1	15
NS10474R	7	1	11	2015	0	-1	15
NS10475S	1	2	-9	-9	-1	-8	1
NS10475S	2	1	-9	-9	-1	-8	1
NS10475S	3	2	3	1988	28	-1	8
NS10476T	1	2	10	1964	51	-1	1
NS10476T	2	1	4	1962	53	-1	1
NS10477V	1	2	2	1951	64	-1	1
NS10477V	2	1	6	1953	62	-1	1
NS10496H	1	1	-9	-9	-1	62	1
NS10496H	2	2	-9	-9	-1	55	1
NS10507K	1	2	-9	-9	-1	58	1
NS10507K	2	1	-9	-9	-1	59	1
NS10507K	3	2	-9	-9	-1	26	15
NS10511Y	1	2	6	1956	59	-1	1
NS10511Y	2	1	5	1955	60	-1	1
NS10512Z	1	2	-9	-9	-1	58	1
NS10512Z	2	1	-9	-9	-1	61	1
NS10512Z	3	1	-9	-9	-1	17	8
NS10515C	1	2	-9	-9	-1	22	8
NS10515C	2	2	-9	-9	-1	-8	1
NS10516D	1	2	-9	-9	-1	49	1
NS10516D	2	1	-9	-9	-1	58	1
NS10516D	3	1	2	2006	9	-1	8
NS10530L	1	1	9	1953	61	-1	1
NS10530L	2	2	9	1957	57	-1	1
NS10530L	3	2	9	1995	19	-1	7
NS10531M	1	2	3	1968	47	-1	1
NS10531M	2	2	8	2006	9	-1	9
NS10531M	3	2	6	2008	7	-1	9
NS10542H	1	2	-9	-9	-1	26	17
NS10542H	2	2	-9	-9	-1	27	17
NS10542H	3	1	-9	-9	-1	23	17
NS10556G	1	2	7	1956	59	-1	1
NS10556G	2	2	6	1987	28	-1	8
NS10556G	3	1	3	1951	64	-1	1
NS10557H	1	2	8	1962	53	-1	1
NS10557H	2	1	6	1955	60	-1	4
NS10559K	1	1	-9	-9	-1	25	17
NS10559K	2	2	-9	-9	-1	26	17
NS10563Y	1	2	10	1960	55	-1	1
NS10563Y	2	2	11	1988	27	-1	8
NS10565A	1	1	-9	-9	-1	-9	1
NS10565A	2	2	-9	-9	-1	-9	1
NS10570P	1	2	3	1964	51	-1	1
NS10570P	2	1	10	1962	53	-1	1
NS10570P	3	2	6	1997	18	-1	8
NS10578Y	1	2	2	1958	57	-1	1
NS10578Y	2	1	2	1950	65	-1	1
NS10578Y	3	1	1	1987	28	-1	8
NS10582L	1	1	8	1989	26	-1	17
NS10585P	1	2	-9	-9	-1	18	8
NS10585P	2	2	-9	-9	-1	50	1
NS10585P	3	1	-9	-9	-1	50	1
NS10586Q	1	2	-9	-9	-1	64	1
NS10586Q	2	1	-9	-9	-1	64	1
NS10586Q	3	2	-9	-9	-1	27	8
NS10592F	1	1	-9	-9	-1	26	23
NS10592F	2	2	-9	-9	-1	-8	23
NS10595J	1	2	4	1970	45	-1	1
NS10595J	2	2	8	1995	20	-1	8
NS10595J	3	2	7	1998	17	-1	8
NS10595J	4	2	3	2000	15	-1	8
NS10595J	5	2	9	2001	14	-1	8
NS10596K	1	2	-9	-9	-1	-8	1
NS10596K	2	1	-9	-9	-1	-8	1
NS10599N	1	2	7	1969	46	-1	1
NS10599N	2	1	6	1992	23	-1	8
NS10600E	1	1	-9	-9	-1	-9	1
NS10600E	2	2	-9	-9	-1	-9	1
NS10608N	1	2	1	1972	43	-1	23
NS10614D	1	1	1	1944	72	-1	1
NS10614D	2	2	5	1954	62	-1	1
NS10614D	3	1	8	1988	27	-1	8
NS10627B	1	1	8	1989	26	-1	17
NS10632Q	1	1	-9	-9	-1	51	4
NS10632Q	2	2	8	1969	46	-1	1
NS10632Q	3	2	10	1998	17	-1	9
NS10641J	1	1	-9	-9	-1	29	17
NS10641J	2	2	-9	-9	-1	29	17
NS10644M	1	2	6	1967	48	-1	1
NS10648R	1	2	5	1963	52	-1	1
NS10654G	1	2	-9	-9	-1	23	19
NS10654G	2	1	-9	-9	-1	27	17
NS10654G	3	2	-9	-9	-1	23	17
NS10654G	4	2	-9	-9	-1	24	17
NS10654G	5	2	-9	-9	-1	24	17
NS10654G	6	1	-9	-9	-1	23	17
NS10656J	1	1	10	1954	61	-1	1
NS10656J	2	2	10	1958	57	-1	1
NS10656J	3	1	10	1980	35	-1	8
NS10658L	1	2	-9	-9	-1	46	1
NS10658L	2	1	1	1968	48	-1	4
NS10658L	3	1	11	2004	11	-1	9
NS10658L	4	2	1	2002	14	-1	9
NS10660X	1	1	1	1937	79	-1	1
NS10660X	2	2	1	1953	63	-1	1
NS10666D	1	2	9	1961	53	-1	1
NS10669G	1	1	5	1972	43	-1	1
NS10672T	1	2	10	1988	27	-1	17
NS10672T	2	2	3	1991	24	-1	17
NS10682N	1	2	12	1969	46	-1	1
NS10685R	1	2	-9	-9	-1	-9	17
NS10685R	2	1	-9	-9	-1	-8	17
NS10685R	3	1	-9	-9	-1	-8	17
NS10686S	1	1	5	1964	51	-1	1
NS10686S	2	2	8	1960	55	-1	1
NS10695L	1	1	12	1956	59	-1	1
NS10702J	1	1	11	1989	26	-1	8
NS10704L	1	1	-9	-9	-1	75	14
NS10704L	2	2	-9	-9	-1	72	14
NS10704L	3	2	-9	-9	-1	49	1
NS10704L	4	1	-9	-9	-1	49	1
NS10704L	5	1	-9	-9	-1	21	8
NS10704L	6	1	-9	-9	-1	12	8
NS10705M	1	1	-9	-9	-1	50	1
NS10705M	2	2	-9	-9	-1	50	1
NS10705M	3	2	-9	-9	-1	23	19
NS10705M	4	1	-9	-9	-1	21	8
NS10709R	1	2	3	1964	51	-1	1
NS10710B	1	2	1	1964	52	-1	1
NS10710B	2	1	11	1992	23	-1	8
NS10710B	3	1	8	1994	22	-1	8
NS10710B	4	1	8	2014	2	-1	6
NS10714F	1	2	5	1956	59	-1	1
NS10714F	2	1	7	1992	23	-1	8
NS10714F	3	1	7	1992	23	-1	8
NS10715G	1	1	2	1970	46	-1	1
NS10715G	2	2	7	1970	45	-1	1
NS10719L	1	1	1	1989	27	-1	17
NS10719L	2	1	5	1990	26	-1	17
NS10720W	1	1	4	2014	1	-1	23
NS10720W	2	2	-9	-9	-1	56	1
NS10720W	3	2	-9	-9	-1	95	14
NS10720W	4	1	-9	-9	-1	99	14
NS10726C	1	1	-9	-9	-1	57	4
NS10726C	2	2	6	1966	49	-1	1
NS10729F	1	2	7	1993	22	-1	17
NS10729F	2	1	3	1992	24	-1	23
NS10732S	1	1	2	2009	7	-1	4
NS10735W	1	1	-9	-9	-1	60	1
NS10735W	2	2	-9	-9	-1	52	1
NS10735W	3	2	-9	-9	-1	21	8
NS10735W	4	2	-9	-9	-1	20	8
NS10746R	1	1	3	1962	53	-1	1
NS10746R	2	2	3	1962	53	-1	1
NS10746R	3	1	3	1994	21	-1	8
NS10752G	1	2	12	1951	64	-1	1
NS10752G	2	1	7	1950	65	-1	1
NS10762B	1	2	4	1986	30	-1	8
NS10762B	2	1	-9	-9	-1	-8	23
NS10762B	3	1	-9	-9	-1	-8	15
NS10762B	4	2	-9	-9	-1	-8	15
NS10762B	5	2	-9	-9	-1	-8	15
NS10765E	1	2	1	2002	14	-1	6
NS10773X	1	2	2	1962	54	-1	1
NS10773X	2	1	5	1963	52	-1	1
NS10773X	3	2	5	1988	28	-1	8
NS10775Z	1	2	4	1965	50	-1	1
NS10775Z	2	1	6	1994	21	-1	8
NS10777B	1	1	-9	-9	-1	65	1
