NSID	GRIDID	HHCAT	W9SEX	W9ALIVE	W9PRES	W9RELTOKEY	W9LVDYM	W9LVDYY	W9WHNMOM	W9WHNMOY	W9SLVYM	W9SLVYY	W9DOBM	W9DOBY	W9RAGE	W9GRIDFLAG
NS10004W	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	3	1989	33	0
NS10011M	2	1	2	1	1	3	-1	-1	-1	-1	11	2018	10	1994	27	0
NS10017T	2	1	2	1	1	1	-1	-1	-1	-1	8	2012	9	1991	31	0
NS10017T	26	3	2	1	1	4	-1	-1	-1	-1	7	2020	7	2020	2	0
NS10017T	27	3	1	1	1	4	-1	-1	-1	-1	3	2022	3	2022	1	0
NS10018V	41	5	2	1	1	9	-1	-1	-1	-1	6	1990	9	1961	60	0
NS10019W	2	1	1	1	1	1	-1	-1	-1	-1	4	2011	5	1987	35	0
NS10019W	26	3	1	1	1	4	-1	-1	-1	-1	5	2012	5	2012	10	0
NS10019W	27	3	2	1	1	4	-1	-1	-1	-1	5	2013	5	2013	9	0
NS10019W	28	3	2	1	1	4	-1	-1	-1	-1	7	2020	7	2020	2	0
NS10020F	31	4	1	1	1	9	-1	-1	-1	-1	-1	-1	12	-8	70	1
NS10020F	32	4	2	1	1	9	-1	-1	-1	-1	-1	-1	11	1954	68	1
NS10021G	2	1	2	1	1	1	-1	-1	-1	-1	3	2019	4	1998	24	0
NS10021G	26	3	2	1	1	4	-1	-1	-1	-1	4	2020	4	2020	2	0
NS10026M	11	2	2	1	1	4	-1	-1	-1	-1	-1	-1	11	2013	9	0
NS10026M	26	3	2	1	1	4	-1	-1	-1	-1	12	2021	12	2021	1	0
NS10027N	31	4	2	1	1	9	-1	-1	-1	-1	-1	-1	5	1956	66	0
NS10027N	32	4	1	1	1	14	-1	-1	-1	-1	-1	-1	12	1979	43	0
NS10029Q	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	4	1985	37	0
NS10029Q	12	2	1	1	1	4	-1	-1	-1	-1	-1	-1	3	2013	10	0
NS10029Q	26	3	1	1	1	4	-1	-1	-1	-1	4	2018	4	2018	4	0
NS10030A	41	5	1	1	1	9	-1	-1	-1	-1	7	1990	8	1961	60	0
NS10030A	42	5	2	1	1	9	-1	-1	-1	-1	7	1990	3	1965	57	0
NS10030A	43	5	1	1	1	14	-1	-1	-1	-1	6	1995	6	1995	27	0
NS10033D	2	1	2	1	1	3	-1	-1	-1	-1	11	2020	3	1991	31	0
