NSID	W1HhID	W1AgeIf	W1Sex	W1MarStat	W1LiveWit	W1EmpStat	W1EthGrp	W1R_1	W1R_2	W1R_3	W1R_4	W1R_5	W1R_6	W1R_7	W1R_8	W1R_9	W1R_10	W1R_11	W1R_12	W1R_13	W1R_14	W1STypeE	W1mainres	W1secores	W1histres	W1vInfoN	Designweight
NS23533L	1	13	1	-91	-91	-91	12	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	0	4	.296052729323898
NS23533L	2	48	1	2	-91	1	12	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	0	4	.296052729323898
NS23533L	3	44	2	2	-91	1	12	11	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	0	4	.296052729323898
NS23533L	4	18	2	1	2	5	12	13	3	6	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	0	4	.296052729323898
NS24676Q	1	14	2	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	4	1.36628717976343
NS24676Q	2	43	2	2	-91	2	1	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	4	1.36628717976343
NS24676Q	3	42	1	2	-91	1	1	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	2	4	1.36628717976343
NS24676Q	4	18	1	1	2	3	1	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	16	2	3	2	4	1.36628717976343
NS21482P	1	14	1	-91	-91	-91	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	3	7	1.36628717976343
NS21482P	2	40	1	2	-91	8	3	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	3	7	1.36628717976343
NS21482P	3	36	2	2	-91	6	3	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	3	3	7	1.36628717976343
