NSID	HHID	W7MODE	W7QSAMEAD	W7QANYSTA	W7INCAR	W7LIVERELAT	W7SHGINT	W7SEX	W7RELATION
NS10001S	1	1	1	-91	-91	-91	4	-91	-91
NS10001S	2	1	1	-91	-91	-91	1	-91	-91
NS10001S	3	1	1	-91	-91	-91	1	-91	-91
NS10001S	4	1	1	-91	-91	-91	3	-91	-91
NS10002T	1	2	1	-91	-91	-91	4	-91	-91
NS10002T	2	2	1	-91	-91	-91	1	-91	-91
NS10002T	3	2	1	-91	-91	-91	1	-91	-91
NS10002T	4	2	1	-91	-91	-91	0	-91	-91
NS10002T	5	2	1	-91	-91	-91	1	-91	-91
NS10002T	6	2	1	-91	-91	-91	1	-91	-91
NS10002T	7	2	1	-91	-91	-91	1	-91	-91
NS10007Z	1	2	3	-91	-91	-91	4	-91	-91
NS10007Z	2	2	3	-91	-91	-91	1	-91	-91
NS10007Z	3	2	3	-91	-91	-91	1	-91	-91
NS10007Z	4	2	3	-91	-91	-91	1	-91	-91
NS10007Z	5	2	3	-91	-91	-91	1	-91	-91
NS10007Z	6	2	3	-91	-91	-91	0	-91	-91
NS10007Z	7	2	3	-91	-91	-91	1	-91	-91
NS10011M	1	2	1	-91	-91	-91	4	-91	-91
NS10011M	2	2	1	-91	-91	-91	1	-91	-91
NS10011M	3	2	1	-91	-91	-91	1	-91	-91
NS10011M	4	2	1	-91	-91	-91	1	-91	-91
NS10011M	5	2	1	-91	-91	-91	1	-91	-91
NS10019W	1	3	1	-91	-91	-91	4	-91	-91
NS10019W	2	3	1	-91	-91	-91	1	-91	-91
NS10019W	3	3	1	-91	-91	-91	1	-91	-91
NS10019W	4	3	1	-91	-91	-91	1	-91	-91
NS10019W	5	3	1	-91	-91	-91	1	-91	-91
NS10019W	6	3	1	-91	-91	-91	1	-91	-91
NS10020F	1	3	1	-91	-91	-91	4	-91	-91
NS10020F	2	3	1	-91	-91	-91	1	-91	-91
NS10020F	3	3	1	-91	-91	-91	1	-91	-91
NS10020F	4	3	1	-91	-91	-91	0	-91	-91
NS10020F	5	3	1	-91	-91	-91	1	-91	-91
NS10020F	6	3	1	-91	-91	-91	1	-91	-91
NS10021G	1	3	1	-91	-91	-91	4	-91	-91
NS10021G	2	3	1	-91	-91	-91	1	-91	-91
NS10021G	3	3	1	-91	-91	-91	0	-91	-91
NS10021G	4	3	1	-91	-91	-91	1	-91	-91
NS10021G	5	3	1	-91	-91	-91	1	-91	-91
NS10022H	1	3	1	-91	-91	-91	4	-91	-91
NS10022H	2	3	1	-91	-91	-91	1	-91	-91
NS10022H	3	3	1	-91	-91	-91	1	-91	-91
NS10022H	4	3	1	-91	-91	-91	0	-91	-91
