NSID	w3HhID	w3Newmember	w3SHGint	w3Ylft	w3NRSdoin	w3NRSSAge	w3NRSStyp	w3Sex	w3Newy	w3Newm	w3MarStat	w3LiveWit	w3EmpStat	w3EthGrp	w3R_1	w3R_2	w3R_3	w3R_4	w3R_5	w3R_6	w3R_7	w3R_8	w3R_9	w3R_10	w3R_11	w3R_12	w3R_13	w3R_14	w3R_15	w3R_16	w3R_17	w3R_18
NS10001S	1	-91	-91	-91	-91	-91	-91	1	-91	-91	1	2	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10001S	2	-91	1	-91	-91	-91	-91	2	-91	-91	2	-91	1	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10001S	3	-91	1	-91	-91	-91	-91	1	-91	-91	2	-91	1	-91	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10001S	4	-91	1	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10002T	1	-91	-91	-91	-91	-91	-91	2	-91	-91	1	2	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10002T	2	-91	1	-91	-91	-91	-91	1	-91	-91	2	-91	1	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10002T	3	-91	1	-91	-91	-91	-91	2	-91	-91	2	-91	2	-91	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10002T	4	-91	1	-91	-91	-91	-91	2	-91	-91	1	2	7	-91	20	8	12	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10002T	5	-91	1	-91	-91	-91	-91	2	-91	-91	1	2	5	-91	13	3	3	19	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10002T	6	-91	1	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	13	3	3	19	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10002T	7	-91	1	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	13	3	3	19	13	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10003V	1	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10003V	2	-91	1	-91	-91	-91	-91	2	-91	-91	2	-91	6	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10003V	3	-91	1	-91	-91	-91	-91	1	-91	-91	2	-91	1	-91	11	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10003V	4	-91	1	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	14	3	6	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10003V	5	-91	1	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	14	3	6	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10003V	6	-91	2	7	3	16	-91	1	-91	-91	-91	-91	-91	-91	13	3	6	14	14	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10004W	1	-91	-91	-91	-91	-91	-91	2	-91	-91	1	2	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10004W	2	-91	1	-91	-91	-91	-91	2	-91	-91	2	-91	1	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10004W	3	-91	1	-91	-91	-91	-91	1	-91	-91	2	-91	1	-91	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10004W	4	-91	1	-91	-91	-91	-91	2	-91	-91	1	2	1	-91	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10004W	5	-91	1	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	13	3	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10004W	6	-91	1	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	13	3	3	13	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10006Y	1	-91	-91	-91	-91	-91	-91	2	-91	-91	1	2	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10006Y	2	-91	1	-91	-91	-91	-91	2	-91	-91	5	2	1	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10006Y	3	-91	1	-91	-91	-91	-91	2	-91	-91	1	2	5	-91	13	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10006Y	4	-91	1	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	13	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10007Z	1	-91	-91	-91	-91	-91	-91	1	-91	-91	1	2	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10007Z	2	-91	1	-91	-91	-91	-91	2	-91	-91	2	-91	2	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10007Z	3	-91	1	-91	-91	-91	-91	1	-91	-91	2	-91	1	-91	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10007Z	4	-91	1	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	13	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10007Z	5	-91	1	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	13	3	3	13	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10007Z	7	-91	1	-91	-91	-91	-91	2	-91	-91	6	-91	7	-91	20	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10008A	1	-91	-91	-91	-91	-91	-91	2	-91	-91	1	2	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10008A	2	-91	1	-91	-91	-91	-91	1	-91	-91	2	-91	2	-91	11	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10008A	3	-91	1	-91	-91	-91	-91	2	-91	-91	2	-91	1	-91	8	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10008A	4	-91	1	-91	-91	-91	-91	1	-91	-91	-91	-91	-91	-91	13	6	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10008A	5	-91	1	-91	-91	-91	-91	1	-91	-91	1	2	1	-91	14	3	3	14	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10011M	1	-91	-91	-91	-91	-91	-91	1	-91	-91	1	2	5	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10011M	2	-91	3	-91	-91	-91	-91	2	-91	-91	2	-91	6	-91	8	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10011M	3	-91	3	-91	-91	-91	-91	1	-91	-91	2	-91	1	-91	11	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
NS10011M	4	-91	3	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	14	3	3	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91
