NSID	W7FinAct21_B11	W7FinAct22_B11	W7FinAct23_B11	W7FinAct24_B11	W7FinAct25_B11	W7FinAct26_B11	W7FinAct27_B11	W7FinAct28_B11	W7FinAct29_B11	W7FinAct30_B11	W7FinAct31_B11	W7FinAct32_B11	W7FinAct33_B11	W7FinAct34_B11	W7FinAct35_B11	W7FinAct36_B11	W7FinAct37_B11	W7FinAct38_B11	W7FinAct39_B11	W7FinAct40_B11	W7FinAct41_B11	W7FinAct42_B11	W7FinAct43_B11	W7FinAct44_B11	W7FinAct45_B11	W7FinAct46_B11	W7FinAct47_B11	W7FinAct48_B11	W7FinAct49_B11	W7FinAct50_B11	W7FinAct51_B11	W7FinAct52_B11	W7FinAct53_B11	W7FinAct54_B11	W7FinAct55_B11	W7FinAct56_B11	W7FinAct57_B11	W7FinAct58_B11	W7FinAct59_B11	W7FinAct60_B11	W7FinAct61_B11	W7FinAct62_B11	W7FinAct63_B11	W7FinAct64_B11	W7FinAct65_B11
NS23533L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS24676Q	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
NS21482P	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-94	-94	-94	-94	-94	-94	-94	-94
NS25978V	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS15856R	1	1	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
NS23018R	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
NS21572X	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS13972M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
NS20913T	1	1	1	1	1	1	1	5	5	5	5	6	6	6	6	6	6	6	6	6	6	5	5	6	6	6	6	6	6	6	6	6	6	6	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94	-94
NS14531V	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
NS22005Y	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
NS21112W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	1	4	4	4	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4
NS25351K	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NS24235C	1	4	4	4	4	4	4	4	4	4	6	6	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	-94	-94	-94	-94	-94	-94	-94	-94
