NSID	ActNum	Activity	Start_Y	Start_M	Sweep	IntFlag	IntMonth	IntYear
NS10001S	1	1	2014	7	8	1	11	2015
NS10001S	2	1	2007	5	8	1	11	2015
NS10001S	3	1	-7	-7	7	1	8	2010
NS10001S	4	1	-8	-8	6	1	6	2009
NS10001S	5	1	2007	6	5	1	7	2008
NS10001S	6	1	2006	10	4	1	7	2007
NS10001S	7	3	2006	5	4	1	7	2007
NS10002T	1	1	-7	-7	7	1	6	2010
NS10002T	2	1	2008	10	6	1	7	2009
NS10002T	3	2	2007	9	6	1	7	2009
NS10002T	4	2	2006	8	5	1	6	2008
NS10002T	5	2	2006	-2	4	1	6	2007
NS10003V	1	2	2006	-2	4	1	6	2007
NS10004W	1	1	2014	3	8	1	2	2016
NS10004W	2	1	2011	7	8	1	2	2016
NS10004W	3	2	2008	9	8	1	2	2016
NS10004W	4	2	2008	9	6	1	8	2009
NS10004W	5	2	2006	9	5	1	7	2008
NS10004W	6	2	2006	-2	4	1	8	2007
NS10006Y	1	1	2009	6	6	1	8	2009
NS10006Y	2	2	-6	-1	6	1	8	2009
NS10006Y	3	2	2006	9	5	1	8	2008
NS10006Y	4	2	2006	-2	4	1	8	2007
NS10007Z	1	2	-7	-7	7	1	6	2010
NS10007Z	2	2	2008	9	6	1	8	2009
NS10007Z	3	2	2006	9	5	1	7	2008
NS10007Z	4	2	2006	-2	4	1	8	2007
NS10008A	1	1	2007	6	4	1	9	2007
NS10008A	2	3	2006	6	4	1	9	2007
NS10011M	1	1	2012	5	8	1	2	2016
NS10011M	2	3	2012	2	8	1	2	2016
NS10011M	3	1	2009	5	8	1	2	2016
NS10011M	4	5	-7	-7	7	1	6	2010
NS10011M	5	5	2007	3	6	1	5	2009
NS10011M	6	5	2007	4	5	1	6	2008
NS10011M	7	1	2007	4	4	1	8	2007
NS10011M	8	2	2006	9	4	1	8	2007
NS10014Q	1	1	2006	8	5	1	10	2008
NS10014Q	2	1	2006	-2	4	1	8	2007
NS10019W	1	1	-8	-8	7	1	7	2010
NS10019W	2	6	-8	-8	7	1	7	2010
NS10019W	3	3	-8	-8	7	1	7	2010
NS10019W	4	3	-8	-8	7	1	7	2010
NS10019W	5	3	-8	-8	7	1	7	2010
NS10019W	6	3	-8	-8	7	1	7	2010
NS10019W	7	1	-8	-8	7	1	7	2010
NS10019W	8	1	2008	10	6	1	7	2009
NS10019W	9	2	-6	-1	6	1	7	2009
NS10019W	10	2	-5	-1	5	1	6	2008
NS10019W	11	2	2006	-2	4	1	7	2007
NS10020F	1	1	2014	5	8	1	9	2015
NS10020F	2	3	2011	1	8	1	9	2015
NS10020F	3	2	2009	9	8	1	9	2015
NS10020F	4	2	-7	-7	7	1	6	2010
NS10020F	5	2	2007	9	6	1	5	2009
NS10020F	6	2	2007	9	5	1	6	2008
NS10020F	7	2	-5	9	5	1	6	2008
NS10020F	8	2	2006	-2	4	1	7	2007
NS10021G	1	1	2016	5	8	1	6	2016
NS10021G	2	5	2014	9	8	1	6	2016
NS10021G	3	1	2011	3	8	1	6	2016
NS10021G	4	3	2010	9	8	1	6	2016
NS10021G	5	1	2010	5	8	1	6	2016
NS10021G	6	1	-8	-8	7	1	6	2010
NS10021G	7	5	-8	-8	7	1	6	2010
NS10021G	8	2	-8	-8	7	1	6	2010
NS10021G	9	2	-6	-1	6	1	5	2009
NS10021G	10	2	2006	9	5	1	6	2008
NS10021G	11	2	2006	-2	4	1	7	2007
NS10022H	1	2	-7	-7	7	1	5	2010
NS10022H	2	2	2008	9	6	1	5	2009
NS10022H	3	2	2006	9	5	1	6	2008
NS10022H	4	2	2006	-2	4	1	7	2007
NS10023J	1	1	2007	7	6	1	10	2009
NS10023J	2	-8	-1	-1	5	1	7	2008
NS10023J	3	2	2006	-2	4	1	8	2007
NS10024K	1	2	2008	9	5	1	10	2008
