NSID	W8BENID	W8BENA	W8BENP2	W8BENA3	W8BENW
NS10001S	21	20	1	-1	20
NS10026M	21	20	1	-1	20
NS10026M	22	60	1	-1	60
NS10026M	23	60	1	-1	60
NS10026M	28	505	2	-1	116
NS10026M	29	40	2	-1	9
NS10029Q	21	82	1	-1	82
NS10053S	4	143	4	2	71
NS10053S	21	80	4	4	20
NS10053S	23	60	1	-1	60
NS10053S	28	130	2	-1	30
NS10053S	29	-8	-8	-1	-1
NS10068S	21	38	4	1	38
NS10068S	23	70	1	-1	70
NS10078M	21	80	2	-1	18
NS10078M	23	42	1	-1	42
NS10083B	3	220	4	2	110
NS10083B	7	-8	4	4	-1
NS10083B	28	-8	1	-1	-1
NS10083B	29	75	2	-1	17
NS10085D	21	20	1	-1	20
NS10085D	23	60	1	-1	60
NS10085D	28	438	2	-1	101
NS10085D	29	-8	-8	-1	-1
NS10093W	21	20	1	-1	20
NS10097A	21	82	2	-1	18
NS10097A	22	0	1	-1	0
NS10097A	23	27	1	-1	27
NS10097A	28	40	1	-1	40
NS10097A	29	0	2	-1	0
NS10100T	7	-8	-8	-1	-1
NS10101V	21	42	1	-1	42
NS10101V	22	-8	-8	-1	-1
NS10101V	23	409	2	-1	94
NS10101V	28	-8	-8	-1	-1
NS10101V	29	9	1	-1	9
NS10118X	21	82	2	-1	18
NS10118X	22	75	1	-1	75
NS10118X	23	65	1	-1	65
NS10118X	28	82	1	-1	82
NS10118X	29	-8	-8	-1	-1
NS10120H	21	20	1	-1	20
NS10120H	22	200	2	-1	46
NS10120H	23	208	2	-1	48
NS10120H	28	28	1	-1	28
NS10120H	29	88	2	-1	20
NS10144B	1	114	4	2	57
NS10148F	21	20	4	1	20
NS10152T	21	-8	-8	-1	-1
NS10158A	1	130	4	2	65
NS10167T	21	80	2	-1	18
NS10174K	21	20	4	1	20
NS10177N	21	135	2	-1	31
NS10177N	23	115	1	-1	115
NS10177N	28	480	2	-1	110
NS10177N	29	110	2	-1	25
NS10194Z	21	137	4	4	34
NS10194Z	23	223	2	-1	51
NS10198D	21	20	4	1	20
NS10198D	23	96	4	1	96
NS10215W	21	80	4	4	20
NS10216X	7	85	2	-1	19
NS10216X	22	66	1	-1	66
NS10217Y	21	20	1	-1	20
NS10217Y	22	83	1	-1	83
NS10217Y	23	45	1	-1	45
NS10217Y	28	300	2	-1	69
NS10217Y	29	95	2	-1	21
NS10254Y	2	70	4	2	35
NS10258C	21	38	4	1	38
NS10259D	21	138	4	4	34
NS10259D	22	150	4	4	37
NS10259D	23	470	4	4	117
