NSID	W8CHID	W8NCHSEX	W8NCHDOBM	W8NCHDOBY	W8NCHRAGE	W8DNCHRAGE	W8NCHREL	W8NCHRELP	W8PARNAME	W8PARDOBM	W8PARDOBY	W8PARAGE	W8DPARAGE	W8NCHPRES	W8NCHEVLV	W8CHDLIVE	W8ABCHG91	W8COPA	W8SEOF
NS10001S	1	1	6	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10026M	1	2	11	2013	-1	2	1	-1	-1	1	1987	-1	28	1	-1	-1	-1	2	-1
NS10029Q	1	1	3	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10040V	1	1	-9	-9	5	5	1	-1	-1	6	1988	-1	27	2	-1	-1	2	1	1
NS10053S	1	2	2	2009	-1	6	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	5
NS10060J	1	1	10	2013	-1	2	1	-1	1	-1	-1	-1	-1	2	-1	-1	1	1	1
NS10068S	1	1	2	2007	-1	9	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS10068S	2	2	8	2009	-1	6	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS10078M	1	1	3	2009	-1	6	1	-1	11	9	1989	-1	26	1	-1	-1	-1	1	2
NS10083B	1	1	-9	-9	2	2	1	-1	-1	-9	-9	25	25	3	2	1	2	-1	-1
NS10085D	1	1	5	2008	-1	7	1	-1	-1	3	1989	-1	26	1	-1	-1	-1	2	-1
NS10093W	1	1	5	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10097A	1	1	12	2013	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10101V	1	1	12	2014	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10101V	2	1	1	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10118X	1	2	1	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10120H	1	2	11	2006	-1	9	1	-1	-1	1	1989	-1	27	1	-1	-1	-1	1	2
NS10148F	1	1	4	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10152T	1	2	10	2012	-1	3	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	2
NS10160L	1	2	5	2010	-1	5	1	-1	-1	3	1987	-1	28	2	-1	-1	1	-8	-1
NS10167T	1	1	8	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10174K	1	1	5	2016	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10177N	1	2	10	2009	-1	6	1	-1	11	10	1988	-1	27	1	-1	-1	-1	2	-1
NS10177N	2	2	10	2013	-1	2	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1
NS10194Z	1	2	12	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10194Z	2	2	6	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10198D	1	1	8	2010	-1	5	1	2	1	-8	-8	-8	-8	1	-1	-1	-1	1	1
NS10215W	1	1	9	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10217Y	1	2	9	2008	-1	7	1	-1	-1	-9	-9	27	27	1	-1	-1	-1	1	1
NS10222M	1	1	3	2012	-1	4	1	2	1	-1	-1	-1	-1	2	-1	-1	1	1	1
NS10258C	1	1	9	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10258C	2	1	4	2016	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10259D	1	1	11	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10259D	2	1	6	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10284G	1	2	8	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10293A	1	1	11	2009	-1	6	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10293A	2	1	12	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10293A	3	2	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10302A	1	1	8	2007	-1	8	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS10302A	2	1	11	2012	-1	3	1	2	1	-1	-1	-1	-1	1	-1	-1	-1	1	3
NS10302A	3	2	12	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10314X	1	1	7	2009	-1	6	1	-1	-1	-9	-9	29	29	3	2	1	7	-1	-1
NS10350W	1	1	-9	-9	6	6	1	-1	-1	-9	-9	33	33	1	-1	-1	-1	1	2
NS10374P	1	1	6	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10381F	1	2	12	2010	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10394D	1	2	9	2013	-1	2	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	4	-1
NS10415A	1	2	-9	-9	-9	-9	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10457F	1	1	12	2011	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10460S	1	1	1	2013	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10461T	1	2	9	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10461T	2	2	8	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10465Y	1	2	1	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10482J	1	1	12	2012	-1	3	1	-1	-1	1	1990	-1	26	1	-1	-1	-1	1	1
NS10483K	1	1	7	2009	-1	7	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10483K	2	1	1	2011	-1	5	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10483K	3	1	12	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10485M	1	1	11	2008	-1	6	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS10494F	1	1	9	2009	-1	6	1	-1	-1	-9	-9	23	23	2	-1	-1	2	1	1
NS10522T	1	1	1	2014	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10537T	1	2	10	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10537T	2	2	4	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10544K	1	2	12	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10544K	2	2	4	2015	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10573S	1	1	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10581K	1	2	5	2009	-1	6	1	-1	-1	-9	-9	28	28	1	-1	-1	-1	1	3
NS10581K	2	1	-9	-9	4	4	1	-1	-1	-9	-9	28	28	1	-1	-1	-1	1	3
NS10590D	1	2	10	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10590D	2	1	4	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10598M	1	2	10	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10598M	2	1	8	2010	-1	5	3	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10602G	1	1	-9	-9	11	11	3	1	-1	-1	-1	-1	-1	3	2	1	2	-1	-1
NS10608N	1	2	8	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10610Z	1	1	6	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10633R	1	2	1	2010	-1	5	1	2	-8	-1	-1	-1	-1	1	-1	-1	-1	2	-1
NS10633R	2	1	8	2011	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10642K	1	2	10	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10649S	1	2	9	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10666D	1	2	4	2015	-1	0	1	-1	-1	11	1990	-1	24	3	2	1	1	-1	-1
NS10683P	1	2	3	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10683P	2	1	4	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10684Q	1	2	12	2010	-1	5	1	-1	-1	2	1987	-1	28	1	-1	-1	-1	1	2
NS10689W	1	1	5	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10711C	1	2	10	2012	-1	3	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10720W	1	1	4	2014	-1	1	1	-1	-1	5	1991	-1	24	3	1	1	1	-1	-1
NS10732S	1	1	3	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10732S	2	1	12	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10765E	1	1	5	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10783R	1	2	3	2014	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10786V	1	1	1	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10806Q	1	2	1	2012	-1	4	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10812F	1	2	7	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10812F	2	2	7	2015	-1	0	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10825D	1	2	9	2013	-1	2	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
NS10825D	2	1	6	2012	-1	3	1	2	-1	-9	-9	25	25	3	2	1	2	-1	-1
