NSID	GRIDID	W9SEOF	W9CHDSEEFREO	W9CHDSEEFREOP	W9CHDMAINO	W9CHDDECO	W9SEX	W9RAGE
NS10026M	11	8	0	5	3	1	2	9
NS10026M	26	1	3	1	1	5	2	1
NS10047C	26	10	5	1	1	3	2	4
NS10047C	27	10	5	1	1	3	2	4
NS10053S	11	8	-1	-1	3	1	2	14
NS10057X	26	5	1	3	3	1	2	15
NS10057X	27	8	-1	-1	3	1	1	10
NS10057X	28	8	-1	-1	3	1	1	9
NS10057X	29	8	-1	-1	3	1	2	3
NS10060J	11	2	5	1	3	3	1	9
NS10068S	12	8	-1	-1	1	1	1	16
NS10068S	13	3	3	3	1	5	2	13
NS10120H	11	3	1	5	3	4	2	16
NS10120H	26	2	2	2	1	4	2	4
NS10121J	26	10	-1	-1	1	1	2	3
NS10128R	26	4	0	6	2	1	2	5
NS10137K	26	3	0	1	3	2	2	3
NS10177N	11	2	2	1	3	1	2	13
NS10177N	12	2	2	1	3	1	2	9
NS10181B	27	10	-1	-1	1	5	1	3
NS10181B	28	10	-1	-1	1	5	2	0
NS10197C	26	7	0	6	3	1	2	3
NS10198D	12	4	2	2	3	2	1	12
NS10198D	26	2	2	1	3	5	2	6
NS10217Y	11	1	3	1	1	3	2	14
NS10222M	12	2	5	1	3	3	1	10
NS10240Z	26	4	2	2	3	3	1	13
NS10240Z	27	8	-1	-1	3	1	2	8
NS10250T	26	8	-1	-1	3	1	2	4
NS10300Y	26	3	1	1	3	1	1	12
NS10300Y	27	2	3	1	3	3	2	9
NS10302A	12	4	2	2	3	2	1	15
NS10302A	13	4	2	2	3	2	1	10
NS10311T	26	6	0	6	3	1	1	15
NS10311T	27	1	0	6	3	3	2	11
NS10311T	28	1	0	6	3	3	1	5
NS10311T	29	1	0	6	3	3	2	0
NS10350W	11	2	3	1	1	5	1	13
NS10350W	26	2	3	1	1	5	2	0
NS10360Q	26	8	-1	-1	1	1	1	9
NS10382G	26	2	0	1	1	5	1	4
NS10482J	11	7	0	-8	3	1	1	10
NS10482J	26	8	-1	-1	3	1	1	4
NS10485M	11	8	-1	-1	3	1	1	14
NS10485M	26	4	1	2	3	3	1	6
NS10564Z	26	10	-1	-1	-9	5	2	9
NS10564Z	27	10	-1	-1	-9	5	2	6
NS10564Z	28	10	-1	-1	-9	5	2	1
NS10568D	26	2	3	1	3	4	2	5
NS10571Q	26	10	-1	-1	1	5	2	4
NS10571Q	27	10	-1	-1	1	5	1	2
NS10581K	11	6	7	4	1	2	2	13
NS10581K	12	6	7	6	1	2	1	11
NS10581K	30	4	7	2	3	3	1	6
NS10581K	31	3	7	2	3	3	1	5
NS10633R	12	8	-1	-1	3	1	2	12
NS10639Y	26	10	-1	-1	3	5	2	13
NS10639Y	27	10	-1	-1	3	5	1	9
NS10684Q	11	2	2	2	1	5	2	12
NS10689W	12	5	52	6	1	2	1	8
NS10689W	27	3	52	6	1	2	2	5
NS10710B	26	3	4	3	1	5	2	5
NS10720W	11	6	0	1	3	1	1	8
NS10775Z	26	2	6	1	1	4	1	6
NS10786V	12	1	7	1	1	5	1	11
NS10786V	26	1	7	1	1	5	1	5
NS10798R	26	4	2	2	1	2	1	2
NS10805P	26	1	5	1	1	5	1	7
NS10806Q	12	2	7	1	3	5	2	10
NS10813G	26	2	12	2	3	1	2	4
NS10813G	27	2	12	2	3	1	1	2
NS10844R	26	-9	-9	-9	-9	5	2	3
NS10859R	26	2	3	1	3	2	2	6
NS10859R	27	2	3	1	3	2	1	4
NS10862D	12	5	4	4	1	1	2	15
NS10873Z	26	2	4	1	3	2	1	5
NS10875B	11	1	1	1	1	2	1	12
NS10875B	12	3	1	1	1	3	1	12
NS10876C	26	6	7	6	3	1	1	14
NS10876C	27	3	2	1	2	2	1	9
NS10922C	26	4	2	2	1	4	2	9
NS10950J	12	2	2	1	3	5	1	7
NS10952L	26	3	0	1	1	4	1	4
NS10962F	26	10	-1	-1	1	5	2	0
NS10990M	26	1	0	1	1	5	2	6
NS11020B	11	3	2	2	1	3	1	13
NS11020B	12	3	2	2	1	3	2	11
NS11020B	13	3	2	2	1	3	1	10
NS11022D	26	4	2	2	1	2	1	6
NS11023E	27	8	-1	-1	1	1	1	11
NS11055Q	26	1	7	1	2	5	2	0
NS11067M	26	1	4	1	3	4	1	7
NS11109Z	11	8	-1	-1	3	1	2	10
NS11116Q	26	3	2	1	3	1	2	8
NS11116Q	27	3	2	1	3	1	2	6
NS11153Q	26	8	-1	-1	3	1	1	11
NS11168Q	26	8	-1	-1	3	1	2	5
NS11168Q	27	8	-1	-1	3	1	2	3
NS11168Q	28	8	-1	-1	3	1	2	1
NS11182Y	11	10	-1	-1	1	5	 	 
NS11200R	26	6	0	-9	3	1	2	7
NS11224K	11	7	0	-9	3	1	2	12
NS11224K	26	6	-8	-8	3	1	2	12
NS11224K	27	8	-1	-1	3	1	2	2
NS11227N	26	2	10	2	3	5	1	4
NS11228P	26	5	4	3	2	3	2	12
NS11228P	27	5	4	3	2	3	1	8
NS11251Q	26	2	0	1	3	4	1	1
NS11259Z	27	7	0	1	3	-8	-9	-9
NS11259Z	28	7	0	1	3	-8	2	-9
NS11259Z	29	7	0	1	3	-8	2	-9
NS11343A	26	1	12	6	1	5	1	1
NS11346D	26	2	1	1	1	3	1	4
NS11346D	27	2	1	1	1	3	2	1
NS11359B	26	2	3	1	3	4	1	7
NS11367T	26	2	0	1	3	4	1	0
NS11368V	26	2	5	6	3	4	2	3
NS11369W	26	8	-1	-1	3	1	2	10
NS11369W	27	8	-1	-1	3	1	1	8
NS11437M	12	3	2	1	1	3	2	11
NS11437M	27	3	2	1	1	3	1	4
NS11448H	26	10	-1	-1	3	5	2	1
NS11488L	26	10	-1	-1	1	4	2	1
NS11508G	12	5	8	6	1	1	2	15
NS11508G	13	8	-1	-1	3	1	1	12
NS11508G	14	8	-1	-1	3	1	2	8
NS11508G	26	8	-1	-1	3	1	1	2
NS11560Q	11	6	0	6	3	1	1	10
NS11566X	12	8	-1	-1	3	1	1	12
NS11566X	13	8	-1	-1	3	1	1	10
NS11566X	26	2	3	1	1	4	1	1
NS11572M	26	2	0	6	3	2	1	2
NS11588N	26	5	3	4	1	3	1	7
NS11588N	27	8	-1	-1	3	1	2	12
NS11592B	26	10	-1	-1	1	5	2	3
NS11592B	27	10	-1	-1	1	5	1	0
NS11602C	12	2	3	1	3	3	1	8
NS11602C	13	2	3	1	3	3	2	6
NS11625V	26	10	-1	-1	3	5	1	6
NS11625V	27	10	-1	-1	3	5	2	0
NS11634N	26	8	-1	-1	3	1	1	14
NS11634N	27	8	-1	-1	3	1	1	9
NS11634N	28	8	-1	-1	3	1	1	3
NS11650Y	11	1	7	1	1	5	1	8
NS11660S	11	4	1	2	2	1	1	12
NS11660S	12	1	2	1	1	4	1	8
NS11669C	26	1	2	1	3	3	2	5
NS11671N	26	5	0	6	2	1	2	4
NS11671N	27	8	-1	-1	2	1	2	3
NS11674R	26	10	-1	-1	1	5	1	9
NS11674R	27	10	-1	-1	1	5	2	7
NS11674R	28	10	-1	-1	1	5	1	5
NS11674R	29	10	-1	-1	1	5	1	3
NS11674R	30	10	-1	-1	1	5	1	3
NS11675S	11	8	-1	-1	2	1	1	15
NS11675S	12	8	-1	-1	2	1	1	11
NS11675S	13	8	-1	-1	2	1	2	7
NS11682J	12	2	2	1	3	3	1	12
NS11682J	13	2	2	1	3	3	1	6
