NSID	SAMPPSU	SAMPSTRATUM	DESIGNWEIGHT	MAINBOOST	W1OUTCOME	W1FINWT	W2OUTCOME	W2FINWT	W3OUTCOME	W3FINWT	W2TOW3NRWT	W4OUTCOME	W4WEIGHT_MAIN_BOOST	W4WEIGHT_MAIN	W5OUTCOME	W5FINWT_CROSS	W6OUTCOME	W6FINWT_CROSS	W6LSYPEWT	W6LSYPEW4WT	W7OUTCOME	W7_LSYPE_WT	W7FINWT	W7_LSYPE_WT_SKIPONLY	W8OUTCOME	W8FINWT	W9OUTCOME	W9FINWT	DATA_AVAILABILITY
NS10001S	11412	114	1.366287179763	1	1	1.43	1	1.59	1	1.57	.99	1	1.5779	1.5285	1	1.71	1	1.78	1.78	-1	1	1.81855	1.81792	-1	1	2.8	5	-1	1
NS10002T	13710	137	.280712770552	1	1	.3	1	.3	1	.3	1.02	1	.2977	.2932	1	.29	1	.27	.27	-1	1	.26611	.26602	-1	5	-1	1	.24	1
NS10003V	13201	132	.243715062525	1	1	.33	1	.36	1	.37	1.04	1	.3096	.388	5	-1	5	-1	-1	-1	-1	-1	-1	-1	3	-1	2	-1	1
NS10004W	11401	114	1.366287179763	1	1	1.25	1	1.71	1	1.64	.96	1	1.6287	1.577	1	1.58	1	1.54	1.54	-1	2	-1	-1	-1	1	1.27	1	1.14	1
NS10005X	11319	113	1.366287179763	1	1	1.18	1	1.24	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	6	-1	1
NS10006Y	11448	114	1.366287179763	1	1	1.32	1	1.32	1	1.29	.97	1	1.2627	1.2227	1	1.22	1	1.22	1.22	-1	5	-1	-1	-1	2	-1	1	1.34	1
NS10007Z	11738	117	.421069155828	1	1	.54	1	.51	1	.5	.97	1	.4965	.4839	1	.47	1	.44	.44	-1	1	.48916	.48899	-1	3	-1	3	-1	1
NS10008A	12035	120	1.366287179763	1	1	1.38	1	1.32	1	1.28	.97	1	1.3979	1.3531	3	-1	5	-1	-1	-1	-1	-1	-1	-1	3	-1	5	-1	1
NS10009B	11716	117	1.366287179763	1	1	1.46	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5	-1	1
NS10010L	11038	110	1.366287179763	1	1	1.48	1	1.36	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	1
NS10011M	12542	125	1.366287179763	1	1	1.24	1	1.14	1	1.12	.97	1	1.1471	1.1129	1	1.25	1	1.17	1.17	-1	1	1.13745	1.13706	-1	1	1.38	1	1.33	1
NS10012N	12544	125	1.366287179763	1	1	1.24	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2	-1	1
NS10013P	13119	131	.197368486216	1	1	.26	1	.35	1	.39	1.1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	2	-1	1
NS10014Q	13503	135	.910858119842	1	1	.96	1	.92	1	.91	.98	1	.9487	.9204	1	1.03	2	-1	-1	-1	-1	-1	-1	-1	5	-1	2	-1	1
NS10015R	11402	114	1.366287179763	1	1	1.32	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS10016S	13103	131	.910858119842	1	1	1.04	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	6	-1	1
NS10017T	11747	117	1.366287179763	1	1	1.27	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	1	1.21	1
NS10018V	13415	134	.246782112899	1	1	.24	1	.23	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	1	.29	1
NS10019W	12010	120	.370173169348	1	1	.34	1	.31	1	.3	.95	1	.2983	.2874	1	.29	1	.27	.27	-1	1	.25768	.25759	-1	2	-1	1	.22	1
NS10020F	12034	120	1.366287179763	1	1	1.34	1	1.3	1	1.24	.95	1	1.2879	1.2472	1	1.25	1	1.17	1.17	-1	1	1.07426	1.07388	-1	1	.86	1	.87	1
NS10021G	10832	108	1.366287179763	1	1	1.27	1	1.29	1	1.24	.96	1	1.3974	1.3544	1	1.28	1	1.2	1.2	-1	1	1.15285	1.15245	-1	1	1.26	1	1.34	1
NS10022H	13710	137	.280712770552	1	1	.3	1	.32	1	.32	.99	1	.3741	.3685	1	.36	1	.34	.34	-1	1	.31103	.31093	-1	2	-1	5	-1	1
NS10023J	13508	135	.151981943324	1	1	.15	1	.15	1	.14	.98	1	.1502	.1444	1	.15	1	.16	.16	-1	2	-1	-1	-1	2	-1	5	-1	1
NS10024K	13002	130	.910858119842	1	1	.86	1	.78	1	.78	1	1	.8821	.8554	1	1.17	3	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	1
NS10025L	11812	118	1.366287179763	1	1	1.27	1	1.22	1	1.23	1	1	1.1388	1.11	3	-1	2	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	1
NS10026M	10826	108	1.366287179763	1	1	1.31	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1.29	1	1.32	1
NS10027N	11008	110	.370173169348	1	1	.39	1	.38	1	.38	1.01	1	.3855	.379	1	.36	1	.33	.33	-1	1	.30296	.30285	-1	1	.31	1	.3	1
NS10028P	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	.2847	0	1	1.46	1	1.56	1.56	-1	1	1.54805	1.54751	-1	2	-1	5	-1	1
NS10029Q	10406	104	1.366287179763	1	1	1.17	1	1.09	1	1.04	.96	1	1.1812	1.1436	1	1.18	1	1.19	1.19	-1	3	-1	-1	-1	1	.98	1	.95	1
NS10030A	13705	137	.151981943324	1	1	.17	1	.18	1	.18	.98	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	.22	1	.24	1
NS10031B	11004	110	1.366287179763	1	1	1.48	1	1.38	1	1.39	1.01	1	1.3349	1.3186	1	1.25	1	1.25	1.25	-1	1	1.52652	1.52599	-1	1	1.86	2	-1	1
NS10032C	10837	108	1.366287179763	1	1	1.27	1	1.25	1	1.25	1	1	1.4494	1.4048	1	1.5	1	1.57	1.57	-1	1	1.77234	1.77172	-1	5	-1	5	-1	1
NS10033D	11745	117	1.366287179763	1	1	1.2	1	1.09	1	1.06	.97	1	.9832	.9583	1	.92	1	.88	.88	-1	1	.84428	.84398	-1	1	.81	1	.84	1
NS10034E	657	48	-1	2	-1	-1	-1	-1	-1	-1	-1	1	.2527	0	5	-1	5	-1	-1	-1	-1	-1	-1	-1	2	-1	5	-1	1
NS10035F	12325	123	1.366287179763	1	1	1.93	1	2.08	1	2.33	1.12	1	1.8889	2.3699	1	1.9	2	-1	-1	-1	-1	-1	-1	-1	6	-1	5	-1	1
NS10036G	10428	104	1.366287179763	1	1	1.24	1	1.26	1	1.23	.98	1	1.4601	1.4137	1	1.46	1	1.57	1.57	-1	1	1.50094	1.50042	-1	1	1.92	1	1.85	1
NS10037H	12530	125	.421069155828	1	1	.37	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	1
NS10038J	12022	120	1.366287179763	1	1	1.26	1	1.17	1	1.11	.94	1	1.1853	1.1478	1	1.17	1	1.22	1.22	-1	1	1.18326	1.18284	-1	1	1.37	1	1.33	1
NS10039K	10208	102	1.050387705694	1	1	1.67	1	1.63	1	2.12	1.3	1	1.7526	1.6995	1	2.14	1	2.23	2.23	-1	1	2.09095	2.09022	-1	1	1.47	1	1.49	1
NS10040V	10501	105	1.366287179763	1	1	1.34	1	1.4	1	1.48	1.05	1	1.9305	1.8699	1	2.5	1	3.03	3.03	-1	3	-1	-1	-1	1	3.56	2	-1	1
NS10041W	11323	113	1.366287179763	1	1	1.21	1	1.09	1	1.03	.94	1	1.0971	1.0634	1	1.12	1	1.06	1.06	-1	1	.98774	.9874	-1	1	.79	1	.78	1
NS10042X	11756	117	1.366287179763	1	1	1.2	1	1.08	1	1.03	.95	1	.9598	.9354	1	.9	1	.85	.85	-1	1	.80588	.8056	-1	1	.93	3	-1	1
NS10043Y	13202	132	.910858119842	1	1	1.07	1	1.11	1	1.48	1.33	1	1.9978	1.9463	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5	-1	1
NS10044Z	12512	125	1.366287179763	1	1	1.27	1	1.15	1	1.1	.95	1	1.1133	1.0796	1	1.08	1	1	1	-1	1	.91388	.91356	-1	1	.63	1	.57	1
NS10045A	10404	104	1.366287179763	1	1	1.24	1	1.18	1	1.15	.97	1	1.3019	1.2605	1	1.39	1	1.39	1.39	-1	1	1.38218	1.3817	-1	1	1.24	1	1.36	1
NS10046B	12527	125	1.366287179763	1	1	1.35	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1
NS10047C	10849	108	1.366287179763	1	1	1.19	1	1.13	1	1.07	.95	1	1.1748	1.1386	1	1.08	1	1.07	1.07	-1	1	1.22197	1.22154	-1	1	1.15	1	1.29	1
NS10048D	12353	123	1.366287179763	1	1	1.3	1	1.23	1	1.21	.98	1	1.2316	1.1934	1	1.17	1	1.1	1.1	-1	1	1.02104	1.02068	-1	2	-1	-1	-1	1
NS10049E	10210	102	1.209403114192	1	1	1.92	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	6	-1	1
