NSID	GRIDID	W9CHDLIVE	W9CHDSEE	W9CHDSEEFRE	W9CHDSEEFREP	W9CHDMAIN	W9CHDDEC	W9SEX	W9RAGE
NS10082A	26	1	1	7	1	1	4	1	1
NS10083B	11	1	2	0	1	2	3	1	9
NS10238N	26	1	2	3	1	1	5	2	3
NS10314X	11	1	8	-1	-1	-9	1	1	13
NS10323Q	26	1	3	2	3	1	3	2	10
NS10323Q	27	1	3	2	3	1	3	1	7
NS10454C	26	1	8	-1	-1	3	1	1	5
NS10494F	11	1	3	-8	2	1	3	1	13
NS10825D	12	1	2	3	1	3	5	2	8
NS10825D	13	1	8	-1	-1	1	1	1	9
NS10841N	12	6	3	1	3	3	4	1	14
NS10841N	13	6	3	1	3	3	4	1	13
NS10841N	14	4	3	1	3	3	4	1	8
NS10841N	26	4	3	1	3	3	4	2	7
NS10852J	26	1	3	0	6	1	3	1	6
NS10895Q	26	1	5	0	3	1	1	1	7
NS10895Q	27	1	5	0	3	1	1	1	4
NS10961E	26	1	7	0	-9	2	1	-9	12
NS10975D	12	1	4	4	3	1	1	1	7
NS10975D	13	1	4	4	3	1	1	1	6
NS10975D	26	1	4	4	3	1	1	2	5
NS11095T	26	1	7	0	1	3	1	2	7
NS11095T	27	1	3	1	1	3	3	2	3
NS11095T	28	1	8	-1	-1	3	1	2	3
NS11095T	29	1	8	-1	-1	3	1	2	1
NS11168Q	12	1	3	2	1	2	1	1	12
NS11178K	12	1	1	2	2	1	3	1	10
NS11178K	13	1	1	2	2	1	3	2	8
NS11178K	26	1	1	2	2	1	3	2	5
NS11241W	12	1	8	-1	-1	1	1	1	7
NS11327Q	26	1	8	-1	-1	1	1	1	6
NS11487K	26	1	4	0	6	1	3	1	9
NS11487K	27	1	4	0	6	1	3	1	9
NS11627X	26	1	1	2	1	1	4	1	5
NS11627X	27	1	1	2	1	1	4	1	5
NS11636Q	11	1	4	5	6	1	2	2	13
NS11650Y	26	1	1	3	1	1	5	1	3
NS11937Y	27	1	8	-1	-1	1	1	2	2
NS11942M	26	1	8	-1	-1	3	1	2	16
NS12052H	11	1	6	8	6	1	1	1	8
NS12052H	26	1	8	-1	-1	1	1	1	6
NS12055L	26	1	7	0	6	3	3	2	3
NS12076B	26	1	7	0	6	1	2	1	8
