NSID	W9RELID	W9NRANY	W9NRLIVEBM	W9NRLIVEBY	W9NRSEX	W9NRDOBM	W9NRDOBY	W9NRAGE	W9CRNOWMA	W9CRWHENMAM	W9CRWHENMAY	W9CRSLIVE	W9CRLIVEPA	W9CRHOWEND	W9WHYEND0A	W9WHYEND0B	W9WHYEND0C	W9WHYEND0D	W9WHYEND0E	W9WHYEND0F	W9WHYEND0G	W9CRSTOPM	W9CRSTOPY	W9CRDIVOR	W9CRDIVWHM	W9CRDIVWHY
NS10002T	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10004W	1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10006Y	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10011M	2	1	11	2018	2	10	1994	27	3	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10017T	2	1	8	2012	2	9	1991	31	1	8	2018	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10018V	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10019W	2	1	4	2011	1	5	1987	35	1	4	2011	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10020F	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10021G	2	1	3	2019	2	4	1998	24	1	7	2021	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10026M	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10027N	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10029Q	1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10030A	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10033D	2	1	11	2020	2	3	1991	31	3	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10036G	2	1	3	2018	1	8	1994	27	3	-1	-1	2	-1	1	1	2	2	2	2	2	2	1	2019	-1	-1	-1
NS10036G	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10038J	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NS10039K	2	1	1	2018	1	9	1989	33	1	5	2017	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
