NSID	Samppsu	Sampstratum	W5finwt_cross	W5Mode	W5IntMonth	W5IntYear	W5SameaddHH	W5AnystayHH	W5HHNumHH	W5Hous12HH	W5Hous12BHH	W5Hous12CHH	W5IncarHH	W5FemployYP	W5FempstatYP	W5FsuperYP	W5FmanyYP	W5Fmany2YP	W5FselfYP	W5FmanysYP	W5Fmanys2YP	W5SOCDad	W5SICDad	W5MemployYP	W5MempstatYP	W5MsuperYP	W5MmanyYP	W5Mmany2YP	W5MselfYP	W5MmanysYP	W5Mmanys2YP	W5SOCMum	W5SICMum	W5mopres	W5fapres	W5agebd5mum	W5agebd5dad	W5agebd10mum	W5agebd10dad	w5wrkagemum	w5wrkagedad	W5empsmum	W5empsdad	W5Cempszmum	W5Cempszdad	w5Cnsseccatmum	w5Cnsseccatdad	W5Cnssecmum	W5Cnssecdad
NS10001S	11412	114	1.7120018175788	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	82	90	1	1	2	2	-91	-91	-91	-91	92	55	1	1	5	5	2	2	1	1	1	1	7	7	12.2	13.3	6	7
NS10002T	13710	137	.289402218444456	3	6	2008	1	-91	-91	1	1	-91	-91	1	2	-91	-91	-91	2	2	-91	24	74	1	1	2	1	-91	-91	-91	-91	42	74	1	1	6	6	3	3	1	1	1	2	7	2	7.1	3.3	3	1
NS10004W	11401	114	1.57714041620014	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	1	3	-91	-91	-91	-91	31	74	1	1	1	3	-91	-91	-91	-91	32	85	1	1	5	5	2	2	1	1	1	1	6	6	4.1	4.1	2	2
NS10006Y	11448	114	1.22276572832819	1	8	2008	3	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	1	-91	-91	-91	-91	71	52	1	-98	6	-91	3	-91	1	-91	1	-98	6	-98	10	-98	5	-98
NS10007Z	11738	117	.465635684665889	1	7	2008	1	-91	-91	1	2	-91	-91	1	2	-91	-91	-91	2	2	-91	54	52	1	1	2	1	-91	-91	-91	-91	41	65	1	1	5	5	2	2	1	1	1	2	7	2	7.1	8.1	3	4
NS10011M	12542	125	1.24705846136313	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	-95	85	1	1	2	2	-91	-91	-91	-91	41	80	1	1	4	5	2	2	1	1	1	1	7	-94	7.2	16	3	-94
NS10014Q	13503	135	1.0314129690696	2	10	2008	1	-91	-91	1	2	-91	-91	1	1	1	2	-91	-91	-91	-91	11	45	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	4	5	2	2	1	1	0	1	-91	4	14.3	2	8	1
NS10019W	12010	120	.292010534912924	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	2	3	-91	-91	-91	-91	92	64	1	1	2	2	-91	-91	-91	-91	72	52	1	1	5	4	2	2	1	1	1	1	7	7	7.2	12.2	3	6
NS10020F	12034	120	1.24632083806179	3	6	2008	1	-91	-91	1	2	-91	-91	1	1	2	2	-91	-91	-91	-91	23	80	1	1	2	1	-91	-91	-91	-91	22	85	1	1	7	9	3	4	1	1	1	1	7	7	3.1	3.1	1	1
NS10021G	10832	108	1.28175900137293	3	6	2008	1	-91	-91	1	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	6	-91	3	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS10022H	13710	137	.363642709126769	3	6	2008	1	-91	-91	1	1	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	8	11	4	5	1	0	0	0	-91	-91	14.3	14.3	8	8
NS10023J	13508	135	.152263541833297	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	1	-1	2	-91	-91	-91	-95	-95	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	4	4	2	2	1	1	0	1	-91	-94	14.3	16	8	-94
NS10024K	13002	130	1.16781028936777	2	10	2008	1	-91	-91	2	-91	1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	1	1	-91	-91	-91	-91	72	52	1	-98	4	-91	2	-91	1	-91	1	-98	6	-98	6	-98	2	-98
NS10027N	11008	110	.361101603528578	3	6	2008	1	-91	-91	2	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	2	2	-91	-91	-91	-91	71	51	1	-98	7	-91	3	-91	1	-91	1	-98	7	-98	12.1	-98	6	-98
NS10028P	-91	-91	1.46144233257154	3	8	2008	1	-91	-91	-1	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-98	6	-91	3	-91	1	-91	0	-98	-91	-98	14.3	-98	8	-98
NS10029Q	10406	104	1.18324706336868	1	7	2008	1	-91	-91	1	1	-91	-91	1	1	1	3	-91	-91	-91	-91	21	45	1	1	2	2	-91	-91	-91	-91	23	74	1	1	5	5	2	2	1	1	1	1	7	6	4.1	3.1	2	1
NS10031B	11004	110	1.24809213882098	1	7	2008	1	-91	-91	1	2	-91	-91	1	1	1	3	-91	-91	-91	-91	35	16	1	1	2	3	-91	-91	-91	-91	41	-95	1	1	6	6	3	3	1	1	1	1	7	6	7.1	4.2	3	2
NS10032C	10837	108	1.50390081866272	1	7	2008	1	-91	-91	-1	-91	-91	-91	1	1	1	1	-91	-91	-91	-91	51	45	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	5	6	2	3	1	1	0	1	-91	6	14.3	10	8	5
