NSID	Designweight	SampPSU	SampStratum	IndSchool	W1FinWt	w1intmonthMP	w1intyearMP	w1intmonthSP	w1intyearSP	W1InCarHH	W1InTypHH	W1hous12HH	W1usevcHH	W1vehnoHH	W1condur4MP	W1condur5MP	W1condur6MP	W1englangHH	W1mainres	W1secores	W1InfoN	W1hrefPer	W1qfhhno	W1fammealMP	W1faminMP	W1fammusMP	W1paroutMP	W1parbackMP	W1partimdMP	W1patwkMP	W1partmewMP	W1carehhMP	W1carehhtMP	W1carenhhMP	W1carenhtMP	W1ben1MP0a	W1ben1MP0b	W1ben1MP0c	W1ben1MP0d	W1ben1MP0e	W1ben1MP0f	W1ben1MP0g	W1ben1MP0h	W1ben1MP0i	W1benchMP	W1ben2MP0a	W1ben2MP0b	W1ben2MP0c	W1ben2MP0d	W1ben2MP0e	W1ben2MP0f	W1ben2MP0g	W1ben2MP0h	W1ben2MP0i	W1ben2MP0j	W1ben2MP0k	W1ben2MP0l	W1ben2MP0m	W1ben2MP0n	W1ben2MP0o	W1ben3MP0a	W1ben3MP0b	W1ben3MP0c	W1ben3MP0d	W1ben3MP0e	W1benamMP	W1benchildMP	W1benunempMP	W1benlowincMP	W1bendisMP	W1benberMP	W1benothMP	W1inc1estMP	W1inc2estMP	W1managhhMP	W1whopresMP0a	W1whopresMP0b	W1whopresMP0c	W1whopresMP0d	W1whopresMP0e	W1whopresMP0f	W1Ed1MP	W1ed1aMP	W1Ed1bMP	W1QualMP0a	W1QualMP0b	W1QualMP0c	W1QualMP0d	W1QualMP0e	W1QualMP0f	W1QualMP0g	W1QualMP0h	W1QualMP0i	W1QualMP0j	W1QualMP0k	W1QualMP0l	W1QualMP0m	W1QualMP0n	W1QualMP0o	W1QualMP0p	W1QualMP0q	W1QualMP0r	W1QualMP0s	W1QualMP0t	W1QualMP0u	W1QualMP0v	W1QualMP0w	W1QualMP0x	W1QualMP0y	W1QualMP0z	W1QualMPaa	W1QualMPab	W1QualMPac	W1QualMPad	W1QualMPae	W1QualMPaf	W1QualMPag	W1QualMPah	W1QualMPai	W1QualMPaj	W1QualMPak	W1QualMPal	W1QualMPam	W1QualMPan	W1QualMPao	W1QualMPap	W1QualMPaq	W1QualMPar	W1QualMPas	W1QualMPat	W1QualMPau	W1QualMPav	W1QualMPaw	W1ApprentMP	W1oversMP	W1otypeMP	W1ed3MP	W1ed4MP	W1wrk1aMP	W1WrkYMP	W1wrkmMP	W1wrk2MP	W1Wrk3MP	W1wrk4MP	W1wrkStatMP	W1wrk10MP	W1wrk11MP	W1fixhrMP	W1FixraMP	W1Fixra2MP	W1Salar1MP	W1salar2MP	W1Salar3MP	W1salar4MP	W1JJBHrsMP	W1HRsOverMP	W1PaidovrMP	W1wrk12aMP	W1wrk12bMP	W1SeiInc1MP	W1SeiInc2MP	W1SeiInc3MP	W1hea1MP	W1hea2MP	W1hea2aMP	W1pethniCMP	W1prelig1MP	W1prelig2MP	W1prelig3MP	W1ppresMP0a	W1ppresMP0b	W1ppresMP0c	W1ppresMP0d	W1ppresMP0e	W1ppresMP0f	W1ppresMP0g	W1NoldsibHS	W1NoldBroHS	W1NresSibHS	W1Ed1SP	W1ed1aSP	W1Ed1bSP	W1QualSP0a	W1QualSP0b	W1QualSP0c	W1QualSP0d	W1QualSP0e	W1QualSP0f	W1QualSP0g	W1QualSP0h	W1QualSP0i	W1QualSP0j	W1QualSP0k	W1QualSP0l	W1QualSP0m	W1QualSP0n	W1QualSP0o	W1QualSP0p	W1QualSP0q	W1QualSP0r	W1QualSP0s	W1QualSP0t	W1QualSP0u	W1QualSP0v	W1QualSP0w	W1QualSP0x	W1QualSP0y	W1QualSP0z	W1QualSPaa	W1QualSPab	W1QualSPac	W1QualSPad	W1QualSPae	W1QualSPaf	W1QualSPag	W1QualSPah	W1QualSPai	W1QualSPaj	W1QualSPak	W1QualSPal	W1QualSPam	W1QualSPan	W1QualSPao	W1QualSPap	W1QualSPaq	W1QualSPar	W1QualSPas	W1QualSPat	W1QualSPau	W1QualSPav	W1QualSPaw	W1apprentSP	W1oversSP	W1otypeSP	W1ed3SP	W1ed4SP	W1wrk1aSP	W1wrkYSP	W1wrkmSP	W1Wrk2SP	W1wrk3SP	W1wrk4SP	W1wrkStatSP	W1wrk10SP	W1wrk11SP	W1fixhrSP	W1FixraSP	W1Fixra2SP	W1salar1SP	W1Salar2SP	W1salar3SP	W1salar4SP	W1JJBhrsSP	W1HrsOveSP	W1PaidovrSP	W1wrk12aSP	W1wrk12bSP	W1SeiInc1SP	W1SeiInc2SP	W1SeiInc3SP	W1hea1SP	W1hea2SP	W1hea2aSP	W1pethnicSP	W1prelig1SP	W1prelig2SP	W1prelig3SP	W1ppresSP0a	W1ppresSP0b	W1ppresSP0c	W1ppresSP0d	W1ppresSP0e	W1ppresSP0f	W1ppresSP0g	W1motherID	W1fatherID	W1sexMP	W1sexSP	W1ageMP	W1ageSP	W1agemum	W1agedad	W1agebd5MP	W1agebd5SP	W1agebd5mum	W1agebd5dad	W1agebd10MP	W1agebd10SP	W1agebd10mum	W1agebd10dad	W1marstatMP	W1marstatSP	W1marstatmum	W1marstatdad	W1wrkageMP	W1wrkageSP	W1wrkagemum	W1wrkagedad	W1empsMP	W1empsSP	W1empsmum	W1empsdad	W1depkids	W1ch0_2HH	W1ch3_11HH	W1ch12_15HH	W1ch16_17HH	W1stepfam	W1famtyp	W1famtyp2	W1singlepar	W1empszMP	W1empszSP	W1empszmum	W1empszdad	W1louneMP	W1louneSP	W1SOCMajorSP	W1SOCMajorMP	W1nssecMP	W1nssecSP	W1nsseccatSP	W1nsseccatMP	W1nsseccatmum	W1nsseccatdad	W1nsseccatfam	W1nssecmum	W1nssecdad	W1nssecfam	W1emplenMP	W1emplenSP	W1emplenmum	W1emplendad	W1disabMP	W1disabSP	W1disabmum	W1disabdad	W1sibs	W1sibs2	W1hiqualgMP	W1hiqualgSP	W1hiqualgmum	W1hiqualgdad	W1hiqualMP	W1hiqualSP	W1hiqualmum	W1hiqualdad	W1wrkfullMP	W1wrkfullSP	W1wrkfulldad	W1wrkfullmum	W1wrkcurMP	W1wrkcurSP	W1wrkcurdad	W1wrkcurmum	W1empmonMP	W1empmonSP	W1empmonmum	W1empmondad	W1LangHom1	W1LangHom2	W1LangHom3	W1ethgrpMP	W1ethgrpSP	W1ethgrpmum	W1ethgrpdad	W1ethgrpYP	W1GrssyrMP	W1flagIncEditMP	W1GrsswkMP	W1GrssmnMP	W1GrssyrSP	W1flagIncEditSP	W1GrsswkSP	W1GrssmnSP	W1GrssyrHH	W1GrsswkHH	W1GrssmnHH	W1GrssyrHHbands	W1inc1est
NS10001S	1.36628717976343	11412	114	0	1.42845785072824	5	2004	5	2004	1	-91	2	1	2	1	2	2	1	2	3	2	3	4	1	7	1	1	1	2	1	2	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	6	1	0	1	0	0	0	26	-91	2	0	1	0	0	0	0	16	2	-91	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	2003	2	-91	-91	-91	1	2	3	1	4	0	-91	-91	-91	-91	37	11	11	-91	-91	-91	-91	-91	1	2	-91	-997	1	-91	-91	0	1	0	0	0	0	0	0	1	0	16	2	-91	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1998	3	-91	-91	-91	1	2	2	2	-91	-91	320	1	250	1	40	0	-91	-91	-91	-91	-91	-91	2	2	-91	1	1	-91	-91	0	1	0	0	0	0	0	2	3	2	1	36	36	36	36	4	4	4	4	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	2	0	1	1	0	0	1	0	0	7	7	7	7	-91	-91	3	9	7	2	4.2	13.2	13.2	4.2	4.2	7	2	2	15	74	15	74	3	3	3	3	1	1	5	4	5	4	16	15	16	15	1	1	1	1	1	1	1	1	231	74	231	74	-91	-91	-91	1	1	1	1	1	7696	0	148	641.333333333333	16640	0	320	1386.66666666667	24336	468	2028	5	26
NS10002T	.280712770551838	13710	137	0	.301376160795254	5	2004	5	2004	1	-91	1	1	1	1	1	1	2	2	3	2	3	7	1	1	1	6	-91	-91	5	-91	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	32	5	1	0	0	1	0	0	0	14	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	2	2	1	1998	-1	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	2	1	-91	-91	-91	1	2	-91	-997	6	-91	1	0	0	1	0	0	0	0	-995	-995	-995	16	2	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1998	-1	-91	-91	-91	1	2	1	2	-91	-91	190	1	170	1	30	0	-91	-91	-91	-91	-91	-91	1	2	-91	9	6	-91	1	0	1	0	0	0	0	0	3	2	1	2	42	43	43	42	5	5	5	5	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	4	0	2	1	1	0	1	0	0	2	7	7	2	-91	-91	4	2	1	6	12.6	3.3	12.6	3.3	12.6	6	1	6	71	71	71	71	3	3	3	3	3	-94	1	7	7	1	1	20	20	1	1	1	1	1	1	1	1	1	107	71	71	107	27	0	0	4	4	4	4	4	-999	0	-999	-999	9880	0	190	823.333333333333	-999	-999	-999	-999	32
NS10003V	.243715062524953	13201	132	0	.326253486999906	5	2004	5	2004	1	-91	2	1	1	3	1	1	1	2	3	2	3	6	1	2	1	1	1	1	1	1	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	10	1	0	1	0	0	0	26	-91	2	0	1	0	0	0	0	16	2	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	10	2003	12	1	2003	12	1	2	3	2	-91	-91	150	5	-1	-91	10	0	-91	-91	-91	-91	-91	-91	2	1	1	-997	1	-91	-91	0	1	0	0	0	0	0	1	2	0	17	1	18	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	1989	9	-91	-91	-91	1	2	3	1	6	0	-91	-91	-91	-91	42	50	8	-91	-91	-91	-91	-91	1	2	-91	1	1	-91	-91	1	0	0	0	0	0	0	2	3	2	1	44	34	44	34	5	3	5	3	3	2	3	2	3	3	3	3	1	1	1	1	6	1	6	1	3	0	2	1	0	1	2	0	0	7	7	7	7	-91	-91	9	9	6	7	13.4	12.2	12.2	13.4	13.4	6	7	7	5	176	5	176	1	3	1	3	3	3	7	4	7	4	20	14	20	14	3	1	1	3	2	1	1	2	-91	176	-91	176	-91	-91	-91	8	1	8	1	2	-91	0	-91	-91	13104	0	252	1092	13104	252	1092	3	26
NS10004W	1.36628717976343	11401	114	0	1.2450683712686	-91	-91	-91	-91	1	-91	2	1	2	-99	-99	-99	1	2	3	2	3	6	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	2	3	2	1	36	36	36	36	4	4	4	4	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	4	0	1	2	1	0	1	0	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	3	-94	-99	-99	-99	-99	-99	-99	-99	-99	1	1	1	1	1	1	1	1	-99	-99	-99	-99	-91	-91	-91	1	1	1	1	1	-99	0	-99	-99	-99	0	-99	-99	-99	-99	-99	-99	-99
NS10005X	1.36628717976343	11319	113	0	1.18389741671058	6	2004	6	2004	1	-91	2	1	2	3	1	1	1	3	2	2	3	5	2	1	1	1	1	1	1	1	2	-91	2	-91	1	0	0	0	1	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	-1	1	0	1	1	0	0	20	-91	2	1	0	0	0	0	0	16	2	-91	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	1	2004	2	-91	-91	-91	1	2	3	1	5	90	-91	-91	-91	-91	35	0	-91	-91	-91	-91	-91	-91	1	2	-91	-997	1	-91	-91	1	0	0	0	0	0	0	0	2	0	15	2	-91	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	-91	2	2	3	1998	11	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-1	3	2	-91	1	1	-91	-91	0	0	1	0	0	0	0	3	2	2	1	35	26	35	26	4	2	4	2	3	2	3	2	2	2	2	2	1	1	1	1	1	1	1	1	3	0	1	2	0	1	1	0	0	7	3	7	3	-91	-91	3	6	6	2	4.3	12.2	12.2	4.3	12.2	6	2	6	4	67	4	67	3	3	3	3	2	2	4	4	4	4	15	13	15	13	1	1	1	1	1	1	1	1	138	67	138	67	-91	-91	-91	1	1	1	1	1	10738	0	206.5	894.833333333333	-1	0	-1	-1	-1	-1	-1	-1	20
NS10006Y	1.36628717976343	11448	114	0	1.3238474652264	4	2004	-91	-91	1	-91	4	1	1	3	1	2	1	2	-98	2	2	4	2	1	1	1	1	1	1	1	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	16	1	0	1	0	0	0	21	-91	2	0	0	1	0	0	0	15	2	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	2	1995	3	-91	-91	-91	1	2	2	1	5	35	-91	-91	-91	-91	27	0	-91	-91	-91	-91	-91	-91	1	2	-91	-997	2	1	3	0	0	1	0	0	0	0	1	1	0	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	-98	2	-98	2	-98	41	-98	41	-98	5	-98	5	-98	3	-98	3	-98	5	-98	5	-98	1	-98	1	-98	2	-98	2	-98	3	0	1	2	0	0	4	1	1	7	-98	7	-98	-91	-98	-98	8	7	-98	-98	13.3	13.3	-98	13.3	7	-98	7	109	-98	109	-98	3	-98	3	-98	2	2	7	-98	7	-98	20	-98	20	-98	2	-98	-98	2	1	-98	-98	1	109	-98	109	-98	-91	-91	-91	1	-98	1	-98	1	7511.4	0	144.45	625.95	-98	0	-98	-98	7511.4	144.45	625.95	2	21
NS10007Z	.421069155827757	11738	117	0	.537039458580858	4	2004	-91	-91	1	-91	2	1	2	1	1	1	2	2	3	2	3	6	1	1	3	1	1	1	5	-91	1	5	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0	26	-91	2	0	0	1	0	0	0	16	1	19	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	2	1998	-1	-91	-91	-91	1	2	3	1	9	30	-91	-91	-91	-91	23	0	-91	-91	-91	-91	-91	-91	1	1	2	-997	6	-91	1	0	0	1	0	0	0	0	0	2	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	2	3	2	1	36	39	36	39	4	4	4	4	3	3	3	3	2	2	2	2	1	1	1	1	2	1	2	1	3	0	2	1	0	0	1	0	0	7	-99	7	-99	-91	-99	-99	4	3	-99	-99	7.1	7.1	-99	-99	3	-99	-99	70	-99	70	-99	2	-99	2	-99	2	2	2	-99	2	-99	4	-99	4	-99	2	1	1	2	1	1	1	1	205	-99	205	-99	27	0	0	2	4	2	4	3	11122.8	0	213.9	926.9	-99	0	-99	-99	-99	-99	-99	-99	26
NS10008A	1.36628717976343	12035	120	0	1.37995285627809	5	2004	4	2004	1	-91	2	1	1	3	1	2	1	2	3	2	2	5	3	1	1	1	1	1	1	1	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0	26	-91	1	1	0	0	0	0	0	17	2	-91	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	-91	2	2	1	1991	7	-91	-91	-91	1	1	1	1	-1	-1	-91	-91	-91	-91	40	5	5	-91	-91	-91	-91	-91	1	2	-91	-91	2	2	3	1	0	0	0	0	0	0	1	1	0	15	2	-91	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	2	2	2	2002	10	-91	-91	-91	1	1	3	1	5	25	-91	-91	-91	-91	15	5	5	-91	-91	-91	-91	-91	2	1	2	-997	2	2	2	0	0	1	0	0	0	0	3	2	1	2	30	33	33	30	3	3	3	3	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	3	0	1	2	0	1	1	0	0	6	6	6	6	-91	-91	6	5	5	5	10	10	10	10	10	5	5	5	154	18	18	154	3	2	2	3	2	2	-92	6	6	-92	13	19	19	13	1	2	1	2	1	1	1	1	154	18	18	154	-91	-91	-91	1	1	1	1	1	-1	0	-1	-1	4095	0	78.75	341.25	-1	-1	-1	-1	26
NS10009B	1.36628717976344	11716	117	0	1.46015929803836	7	2004	-91	-91	1	-91	2	1	2	3	1	1	1	2	3	2	3	3	3	3	2	1	1	1	1	2	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	1	0	0	0	32	1	2	1	0	0	0	0	0	15	2	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	3	2	-91	2	2	2	1998	4	-91	-91	-91	1	2	1	2	-91	-91	68	1	68	1	16	0	-91	-91	-91	-91	-91	-91	1	2	-91	-91	1	-91	-91	1	0	0	0	0	0	0	2	0	2	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	2	3	2	1	44	46	44	46	5	6	5	6	3	4	3	4	2	2	2	2	1	1	1	1	2	1	2	1	1	0	0	1	0	0	1	0	0	7	-99	7	-99	-91	-99	-99	9	7	-99	-99	13.4	13.4	-99	-99	7	-99	-99	75	-99	75	-99	3	-99	3	-99	0	2	7	-99	7	-99	20	-99	20	-99	2	1	1	2	1	1	1	1	184	-99	184	-99	-91	-91	-91	1	1	1	1	1	3536	0	68	294.666666666667	-99	0	-99	-99	-99	-99	-99	-99	32
NS10010L	1.36628717976343	11038	110	0	1.47667397481664	7	2004	7	2004	1	-91	2	1	2	1	1	1	1	2	3	5	3	5	2	2	1	1	5	-91	1	1	2	-91	2	-91	1	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0	-92	-91	1	0	0	1	0	0	0	17	1	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	-91	2	2	2	1999	1	-91	-91	-91	1	2	1	2	-91	-91	-92	-91	-92	-91	20	0	-91	-91	-91	-91	-91	-91	1	2	-91	-997	2	6	3	0	0	1	0	0	0	0	0	2	0	17	1	29	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	-91	1	2	1	1983	1	-91	-91	-91	2	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	-91	-91	-91	-91	1	2	-91	1	2	1	2	1	0	0	0	0	0	0	2	3	2	1	42	42	42	42	5	5	5	5	3	3	3	3	2	2	2	2	1	1	1	1	2	1	2	1	3	0	1	2	0	0	1	0	0	7	3	7	3	-91	-91	8	6	6	4	9.1	12.7	12.7	9.1	9.1	6	4	4	66	258	66	258	3	3	3	3	2	2	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	66	258	66	258	-91	-91	-91	1	1	1	1	1	-92	0	-92	-92	-999	0	-999	-999	-92	-92	-92	-92	-92
