NSID	samppsu	sampstratum	W2toW3nrwt	W3finwt	W3mainres	W3secores	W3hrefper	W3qfhhno	W3intmnthMP	W3intyearMP	W3sameaddHH	W3parpresHH	W3parchkHH	W3incarHH	W3intypHH	W3infon	W3hous12HH	W3usevcHH	W3vehnoHH	W3condur4MP	W3condur5MP	W3condur6MP	W3condur4YP	W3condur5YP	W3condur6YP	W3englangHH	W3elseHH0a	W3elseHH0b	W3elseHH0c	W3elseHH0d	W3elseHH0e	W3elseHH0f	W3elseHH0g	W3elseHH0h	W3elseHH0i	W3elseHH0j	W3whopresMP0a	W3whopresMP0b	W3whopresMP0c	W3whopresMP0d	W3whopresMP0e	W3whopresMP0f	W3wrk1aMP	W3wrk10MP	W3wrk11MP	W3wrk12aMP	W3wrk12bMP	W3wrk13MP	W3socMP	W3edfinyMP	W3edfinmMP	W3qualstuMP	W3wrk1aSP	W3wrk10SP	W3wrk11SP	W3wrk12aSP	W3wrk12bSP	W3socSP	W3edfinySP	W3edfinmSP	W3incsourMP0a	W3incsourMP0b	W3incsourMP0c	W3incsourMP0d	W3incsourMP0e	W3incsourMP0f	W3incsourMP0g	W3incsourMP0h	W3incsourMP0i	W3incsourMP0j	W3incsourMP0k	W3incsourMP0l	W3incsourMP0m	W3incestMP	W3parentckMP	W3fatherid	W3motherid	W3empsMP	W3empssp	W3empsdad	W3empsmum	W3empshrp	W3cempszMP	W3cempszSP	W3cempszmum	W3cempszdad	W3cnsseccatMP	W3cnsseccatSP	W3cnsseccatmum	W3cnsseccatdad	W3cnsseccatfam	W3cnssecMP	W3cnssecSP	W3cnssecmum	W3cnssecdad	W3cnssecfam	W3wrkfullMP	W3wrkfullSP	W3wrkfulldad	W3wrkfullmum	W3wrkcurMP	W3wrkcurSP	W3wrkcurdad	W3wrkcurmum	W3socmajorSP	W3socmajorMP	W3mainrespos	W3secorespos	W3cgempsMP	W3cgempsSP	W3cgempsdad	W3cgeMPsmum	W3ethgrpMP	W3ethnicMP	W3ethgrpsp	W3ethnicsp	W3ethgrpdad	W3ethnicdad	W3ethgrpmum	W3ethnicmum	W3incestm	W3incestw	W3ageMP	W3agebd5MP	W3agebd10MP	W3marstatMP	W3sexMP	W3wrkageMP	W3relMP	W3ageSP	W3agebd5SP	W3agebd10SP	W3marstatSP	W3sexSP	W3wrkageSP	W3relSP	W3agemum	W3agebd5mum	W3agebd10mum	W3marstatmum	W3wrkagemum	W3agedad	W3agebd5dad	W3agebd10dad	W3marstatdad	W3wrkagedad	W3depkids	W3ch0_2HH	W3ch3_11HH	W3ch12_15HH	W3ch16_17HH	W3natparHH	W3stepfam	W3famtyp	W3lnpar	W3sibs	urbind	gor	IDACIRSCORE	IMDRSCORE
NS10001S	11412	114	.985302504756946	1.57433742178594	2	3	2	4	4	2006	0	1	-91	1	-91	2	2	1	2	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	3	-91	-91	-91	9234	-91	-91	-91	1	2	3	-91	-91	8211	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	-1	2	3	2	1	1	1	1	1	7	7	7	7	13.2	13.3	13.2	13.3	13.2	7	7	7	7	7	1	1	1	1	1	1	1	1	8	9	2	2	0	0	0	0	1	1	1	1	1	1	1	1	-1	-1	38	4	3	2	2	1	8	38	4	3	2	1	1	8	38	4	3	2	1	38	4	3	2	1	2	0	0	1	1	2	0	1	2	1	5	2	.18	21
NS10002T	13710	137	1.01709140292379	.303148649588772	3	2	2	7	4	2006	0	1	-91	1	-91	3	1	1	1	3	1	1	-91	-91	-91	-91	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	2	2	1	-91	-91	-91	4215	-91	-91	-91	3	-91	-91	2	1	2411	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	-92	2	2	3	2	1	1	2	1	7	2	7	2	7.1	3.3	7.1	3.3	3.3	3	1	3	1	1	2	1	1	2	1	1	1	1	2	4	2	2	1	0	0	1	4	9	4	9	4	9	4	9	-92	-92	45	6	4	2	2	1	8	44	5	3	2	1	1	8	45	6	4	2	1	44	5	3	2	1	3	0	1	1	1	2	0	1	2	3	5	7	.37	36
NS10003V	13201	132	1.03695566520967	.373950794286412	2	3	3	5	5	2006	0	1	-91	1	-91	2	2	1	1	3	1	1	-91	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	1	4	-91	-91	5223	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	6	2	3	2	6	1	1	6	1	-91	6	-91	6	14.3	10	14.3	10	10	8	5	8	5	5	3	1	1	3	2	1	1	2	5	-91	1	1	0	0	0	0	8	14	1	1	1	1	8	14	6	6	46	6	4	2	2	1	8	36	4	3	2	1	1	11	46	6	4	2	1	36	4	3	2	1	-94	0	2	0	1	1	1	2	2	2	5	9	.43	43
NS10004W	11401	114	.955500474357888	1.63631040915608	2	3	2	6	7	2006	0	1	-91	1	-91	2	2	1	1	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	4	-91	-91	-91	3211	-91	-91	-91	1	-1	3	-91	-91	3131	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	9	2	3	2	1	1	1	1	1	6	7	6	7	4.1	4.1	4.1	4.1	4.1	2	2	2	2	2	1	1	1	1	1	1	1	1	3	3	1	1	0	0	0	0	1	1	1	1	1	1	1	1	9	9	38	4	3	2	2	1	8	38	4	3	2	1	1	8	38	4	3	2	1	38	4	3	2	1	3	0	0	2	1	2	0	1	2	3	5	2	.87	79
NS10006Y	11448	114	.970223468128019	1.28919544353764	2	-98	2	4	3	2006	0	1	-91	1	-91	2	2	1	1	3	1	1	-91	-91	-91	-91	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	-91	-91	-91	1223	-91	-91	-91	-98	-98	-98	-98	-98	-98	-98	-98	1	0	0	1	0	0	1	0	0	0	0	0	0	4	-91	-98	2	1	-98	-98	1	1	5	-98	5	-98	5	-98	5	-98	5	2	-98	2	-98	2	1	-98	-98	1	1	-98	-98	1	-98	1	1	-98	1	-98	-98	1	1	1	-98	-98	-98	-98	1	1	4	4	43	5	3	5	2	1	8	-98	-98	-98	-98	-98	-98	-98	43	5	3	5	1	-98	-98	-98	-98	-98	3	0	0	1	2	1	0	4	1	2	5	2	.48	41
NS10007Z	11738	117	.97033940414972	.498266090014024	2	3	3	6	7	2006	0	1	-91	1	-91	6	2	1	2	3	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	3	-91	-91	-91	7212	-91	-91	-91	3	-91	-91	2	1	1234	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	-92	2	3	2	2	1	1	2	1	6	2	6	2	6	8.1	6	8.1	8.1	2	4	2	4	4	2	1	1	2	1	1	1	1	1	7	1	1	1	0	0	1	2	6	4	9	4	9	2	6	-92	-92	38	4	3	2	2	1	8	41	5	3	2	1	1	8	38	4	3	2	1	41	5	3	2	1	-94	-94	-94	-94	-94	2	0	1	2	2	5	8	.33	16
NS10008A	12035	120	.970597288582515	1.28407367528856	3	2	3	5	7	2006	0	1	-91	1	-91	3	2	1	2	1	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	-91	-91	-91	5314	-91	-91	-91	1	1	2	-91	-91	9233	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	6	2	2	3	1	1	1	1	1	6	6	6	6	10	10	10	10	10	5	5	5	5	5	1	1	1	1	1	1	1	1	9	5	1	1	0	1	1	0	1	1	1	1	1	1	1	1	6	6	32	3	2	2	2	1	8	36	4	3	2	1	1	11	32	3	2	2	1	36	4	3	2	1	2	0	0	1	1	1	1	1	2	2	6	9	.09	6
NS10011M	12542	125	.973503817842772	1.1160761902015	2	3	3	5	5	2006	0	1	-91	1	-91	2	2	1	1	3	1	1	-91	-91	-91	-91	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	-91	-91	-91	-91	-91	-91	-91	-91	-91	1	2	3	-91	-91	-95	-91	-91	1	0	0	1	0	0	1	0	0	0	0	0	0	-92	2	3	2	6	1	1	6	1	-91	7	-91	7	14.3	17	14.3	17	17	8	-94	8	-94	-94	3	1	1	3	2	1	1	2	-94	-91	1	1	0	0	0	0	1	1	1	1	1	1	1	1	-92	-92	36	4	3	2	2	1	8	41	5	3	2	1	1	11	36	4	3	2	1	41	5	3	2	1	3	0	2	0	1	1	1	1	2	2	6	3	.26	26
NS10013P	13119	131	1.09892268732487	.387757669585262	2	3	2	5	3	2006	0	1	-91	1	-91	3	4	1	1	2	2	2	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	1	-91	-91	-91	8214	-91	-91	-91	10	-91	-91	-91	-91	-91	-91	-91	1	0	0	1	0	1	0	0	0	0	0	0	0	5	2	2	3	1	6	1	6	1	7	-91	-91	7	13.3	14.3	14.3	13.3	13.3	7	8	8	7	7	1	3	1	3	1	2	1	2	-91	8	1	1	0	1	0	1	6	12	1	1	6	12	1	1	5	5	41	5	3	3	1	1	8	38	4	3	3	2	1	11	38	4	3	3	1	41	5	3	3	1	2	1	0	0	1	1	1	2	2	1	5	2	.71	79
NS10014Q	13503	135	.984753877588787	.907605964605595	3	2	3	4	5	2006	0	1	-91	1	-91	3	2	1	1	1	1	1	-91	-91	-91	-91	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	-91	-91	-91	8123	-91	-91	-91	10	-91	-91	-91	-91	-91	-91	-91	1	0	0	1	0	0	0	0	0	0	0	0	0	-92	1	3	2	1	6	1	6	1	6	-91	-91	6	10	14.3	14.3	10	10	5	8	8	5	5	1	3	1	3	1	2	1	2	-91	8	1	1	0	0	0	0	1	1	1	1	1	1	1	1	-92	-92	38	4	3	2	1	1	8	37	4	3	2	2	1	8	37	4	3	2	1	38	4	3	2	1	2	0	0	1	1	2	0	1	2	1	5	3	.07	17
